case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.5422648156956962,0.41432920108861077,215.76021434257802,0.0002888336964007865,0.05102289935331138,0.13138000168398747,0.06089724491123322
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,-12,0.46784309840023025,0.33334450005529775,435.32711272870966,0.0001658258196405047,0.008658540199493385,0.3546523564250024,0.12115890748137877
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,350.70242074789604,2.0003821173677463,306.53637679582346,0.5790507713746827,0.8807118964710544,0.2236881214154323,0.5611502630870565
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",wsola,WSOLA,local waveform-similarity overlap-add,-12,598.3798193620166,2.11427957566113,306.6956746621335,0.9884241644136669,0.9402934318509661,0.22385010762545618,0.7175225679633631
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",phase_vocoder,Phase Vocoder,local phase vocoder,3,0.5639729908406159,0.3906580399401113,93.33105682737074,0.0003247140365750865,0.03864014607167083,0.006884704404215427,0.01528318817082045
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,3,0.49271822966737716,0.45539821903688116,820.5950801538963,0.00020694066074470826,0.07250674265032414,0.7464221856914857,0.2730452896675182
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,120.09522519897307,1.948361845455816,290.4913799842656,0.19789185001444784,0.8534992815643233,0.2073723459216757,0.41958782583348225
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",wsola,WSOLA,local waveform-similarity overlap-add,3,257.0947791853517,2.1304316999304937,288.4387933793591,0.4243314548150849,0.9487428597665294,0.2052851194410183,0.5261198113408775
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",phase_vocoder,Phase Vocoder,local phase vocoder,7,0.5468507689422033,0.412561675640791,233.0126603687681,0.0002964135856088676,0.05009827924692674,0.14892360355486503,0.06643943212913354
beating_rate_0_5hz,beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",psola,PSOLA,local pitch-synchronous overlap-add,7,0.45675403533841713,0.3545192866954115,332.71400648208424,0.0001474972705010238,0.01973540107298407,0.25030753019038865,0.09006347617795792
