signal_family,signal_name,signal_label,depth_semitones,rate_hz,shift_semitones,algorithm,algorithm_label,implementation,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,3,phase_vocoder,Phase Vocoder,local phase vocoder,0.6567827858967449,0.3346762127651767,48.14976616720389,8.326493059424628e-05,0.04333881412290362,0.009971542251523474,0.01779787376834045
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,3,wsola,WSOLA,local waveform-similarity overlap-add,181.706505439012,2.014150135363799,265.4122615850279,0.30520095926216656,0.9473862802777316,0.23627917254827344,0.4962888040293905
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,3,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,108.76175591720607,1.917680941535495,277.52507137469553,0.18226934985931437,0.8954576798577056,0.24889626632906253,0.4422077653486942
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,3,psola,PSOLA,local pitch-synchronous overlap-add,0.6959427980035754,0.4901861847950184,766.5642855489966,0.00014926013030479933,0.12704859626578827,0.7582953021319595,0.29516438617601753
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,7,phase_vocoder,Phase Vocoder,local phase vocoder,0.6557663472745655,0.4129686451447999,120.66605752979024,8.155195691892541e-05,0.08548300830150674,0.0855068527735495,0.057023804343991714
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,7,wsola,WSOLA,local waveform-similarity overlap-add,289.2623573892146,2.0573470321801905,332.3831875826537,0.48646162665236375,0.9706388265585251,0.30603825145489594,0.5877129015552617
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,7,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,173.63493009307143,1.950054179832972,346.167135185492,0.29159817422009526,0.9128839367708088,0.32039605634033586,0.5082927224437467
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,7,psola,PSOLA,local pitch-synchronous overlap-add,0.6497467451589565,0.4521484525272932,869.554095213382,7.140730112275438e-05,0.1065731872628876,0.8655728132598568,0.32407246927462235
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,12,phase_vocoder,Phase Vocoder,local phase vocoder,0.6461439556559453,0.4198603218575903,228.20455697712845,6.533562749513478e-05,0.08919274310948529,0.19752242604951994,0.09559350159550012
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,12,wsola,WSOLA,local waveform-similarity overlap-add,46.499596123107565,1.7912791723268178,435.1260106183861,0.0773407901128994,0.8274166119774858,0.4130584933355726,0.4392719651419859
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,13.320328630959631,1.562923347932316,457.37210899542,0.02142476081187096,0.7044944863953762,0.4362307476971594,0.38738333163480215
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,12,psola,PSOLA,local pitch-synchronous overlap-add,0.636309829848889,0.3706119753906879,165.47979439104608,4.876246876257699e-05,0.06268274957125355,0.13218628805440244,0.06497260003147286
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,-12,phase_vocoder,Phase Vocoder,local phase vocoder,0.8870141080799917,0.4739167531888356,110.55128641742743,0.0004712669068361741,0.11829089052148538,0.07497098059261598,0.06457771267364584
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,-12,wsola,WSOLA,local waveform-similarity overlap-add,409.239829964894,1.9704419123580204,211.05590027981825,0.6886560805712958,0.9238584911725786,0.17965983153003173,0.5973914677579687
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,-12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,261.6178401356519,1.9047637075625297,218.40657200941777,0.43987314674909833,0.8885044354602462,0.1873165285453902,0.5052313702515782
subtle_modulation,vibrato_depth_0_rate_2,0 st / 2 Hz,0.0,2.0,-12,psola,PSOLA,local pitch-synchronous overlap-add,0.7479889569265551,0.3958095639029835,214.99228512542325,0.0002369719686698879,0.07624641122817645,0.18376009708498506,0.08674782676061048
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,3,phase_vocoder,Phase Vocoder,local phase vocoder,0.6570240563106367,0.334583286694077,47.9002342253815,8.367153642229346e-05,0.04328879275729206,0.009711621723921274,0.017694695339211877
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,3,wsola,WSOLA,local waveform-similarity overlap-add,182.2814809131247,2.0144605634121096,265.3978846685107,0.3061699482690959,0.9475533812292392,0.2362641970878207,0.49666250886205193
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,3,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,109.10725006275224,1.9179609226434495,277.47777797713496,0.18285160083186117,0.8956083914631743,0.24884700399913287,0.44243566543138946
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,3,psola,PSOLA,local pitch-synchronous overlap-add,0.696131724698596,0.4890545465220093,764.5132895764873,0.0001495785228255811,0.1264394443762878,0.7561589185035098,0.2942493138008744
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,7,phase_vocoder,Phase Vocoder,local phase vocoder,0.6560323814920286,0.4131001676634891,120.517187169552,8.200029644607929e-05,0.08555380582813894,0.08535178459953194,0.05699586357470565
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,7,wsola,WSOLA,local waveform-similarity overlap-add,297.37980792162926,2.060976054200543,332.51203531011527,0.5001417237770988,0.9725923002731054,0.3061724634081135,0.5929688291527725
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,7,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,178.532677775913,1.9536609086084904,346.2625955343195,0.2998522022213953,0.9148254102088541,0.3204954909219414,0.5117243677840636
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,7,psola,PSOLA,local pitch-synchronous overlap-add,0.6497737234975357,0.4512664129003202,847.7535896912619,7.145276691161926e-05,0.10609839234104729,0.8428647028034515,0.31634484930380347
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,12,phase_vocoder,Phase Vocoder,local phase vocoder,0.6464235370402902,0.419292796376004,228.1510443720423,6.580679765833238e-05,0.08888724865273745,0.19746668559222305,0.09547324701420627
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,12,wsola,WSOLA,local waveform-similarity overlap-add,52.90393339331967,1.8095889633476283,434.3034985873244,0.08813382858307046,0.8372726269804316,0.4122017382463789,0.445869397936627
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,22.070735351493997,1.6298002827985902,452.2802790084411,0.03617156011047237,0.7404938089787885,0.4309269331754167,0.4025307674215592
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,12,psola,PSOLA,local pitch-synchronous overlap-add,0.6363100511850917,0.3705698632961523,188.9442685807839,4.8762841773873836e-05,0.06266008096541985,0.15662764200197,0.0731121619363879
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,-12,phase_vocoder,Phase Vocoder,local phase vocoder,0.8870260930294762,0.4739601890791219,110.54516341728568,0.00047128710471386104,0.11831427171605181,0.07496460267796613,0.06458338716624394
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,-12,wsola,WSOLA,local waveform-similarity overlap-add,354.3418623258891,1.954476932035616,211.16966559821157,0.5961381740865922,0.9152646691349317,0.17977833315897615,0.5637270587935
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,-12,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,228.25811277692327,1.8898784762086376,218.52903421180184,0.3836529938205735,0.880491833711841,0.18744408912950827,0.48386297222064095
subtle_modulation,vibrato_depth_0.025_rate_2,0.025 st / 2 Hz,0.025,2.0,-12,psola,PSOLA,local pitch-synchronous overlap-add,0.7486658513143329,0.3959315502562498,214.9918075274856,0.00023811271858034463,0.07631207551274316,0.1837595996035523,0.08676992927829193
subtle_modulation,vibrato_depth_0.05_rate_2,0.05 st / 2 Hz,0.05,2.0,3,phase_vocoder,Phase Vocoder,local phase vocoder,0.6577925112620313,0.3346843016041685,47.93095851378583,8.49665906180762e-05,0.04334316828065285,0.009743625134762918,0.01772392000201128
subtle_modulation,vibrato_depth_0.05_rate_2,0.05 st / 2 Hz,0.05,2.0,3,wsola,WSOLA,local waveform-similarity overlap-add,205.21047704698836,2.0283731592520597,265.1695063887421,0.34481150115954784,0.9550424210097926,0.23602631089763274,0.5119600776889911
subtle_modulation,vibrato_depth_0.05_rate_2,0.05 st / 2 Hz,0.05,2.0,3,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,122.99220690742676,1.9318422425209951,277.264494354983,0.20625150421894087,0.903080595641708,0.24862484089170153,0.4526523135841168
subtle_modulation,vibrato_depth_0.05_rate_2,0.05 st / 2 Hz,0.05,2.0,3,psola,PSOLA,local pitch-synchronous overlap-add,0.6962330089178259,0.4857679576864339,762.1530057191845,0.0001497492140975187,0.12467029972383772,0.7537003706278324,0.29284013985525587
subtle_modulation,vibrato_depth_0.05_rate_2,0.05 st / 2 Hz,0.05,2.0,7,phase_vocoder,Phase Vocoder,local phase vocoder,0.6568379331797798,0.4136250378065126,120.41381460319757,8.335786866452712e-05,0.08583633925511024,0.08524410839667707,0.057054601840150605
subtle_modulation,vibrato_depth_0.05_rate_2,0.05 st / 2 Hz,0.05,2.0,7,wsola,WSOLA,local waveform-similarity overlap-add,295.52755968389664,2.0605286182936275,332.67602388940827,0.4970201851006241,0.9723514490800796,0.30634327920724236,0.5919049711293153
subtle_modulation,vibrato_depth_0.05_rate_2,0.05 st / 2 Hz,0.05,2.0,7,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,177.4048742815317,1.9532038941783296,346.4465554941558,0.2979515486505306,0.9145794029728836,0.32068710955588914,0.5110726870597678
subtle_modulation,vibrato_depth_0.05_rate_2,0.05 st / 2 Hz,0.05,2.0,7,psola,PSOLA,local pitch-synchronous overlap-add,0.649830151892321,0.4498522226344486,810.3619366203114,7.154786400129942e-05,0.10533714495916244,0.8039163496461731,0.30310834748977894
subtle_modulation,vibrato_depth_0.05_rate_2,0.05 st / 2 Hz,0.05,2.0,12,phase_vocoder,Phase Vocoder,local phase vocoder,0.6472711424806934,0.417354466618521,228.77671972330305,6.72352418110706e-05,0.08784386114773016,0.1981184092401845,0.09534316854324192
subtle_modulation,vibrato_depth_0.05_rate_2,0.05 st / 2 Hz,0.05,2.0,12,wsola,WSOLA,local waveform-similarity overlap-add,30.79454967414831,1.7129924815158664,440.3985993706645,0.05087354403455121,0.7852755084396719,0.41855059202367195,0.4182332148326317
