case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,shift_semitones,algorithm_disagreement,mean_composite_stress,min_composite_stress,max_composite_stress,algorithm_spread
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",-12,0.058403728476679545,0.34240658080390596,0.07236997540633307,0.6402069986826139,0.5678370232762808
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",3,0.03694956562049013,0.32205903299424593,0.023423883190914877,0.5343911371081138,0.5109672539171989
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",7,0.0442621093043533,0.2943275920648003,0.07746759363438076,0.5448238731910768,0.46735627955669606
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",12,0.03295674076866223,0.300176336429224,0.08942022860463379,0.4968378468825206,0.4074176182778868
critical_beating_rate_0_25hz,critical_beating_rate,0.25 Hz,0.25,Hz beat rate,"{""beat_rate_hz"": 0.25, ""frequencies_hz"": ""440,440.25""}",-12,0.06543661102906552,0.34790575876777285,0.06114380820661907,0.6638388432904345,0.6026950350838155
critical_beating_rate_0_25hz,critical_beating_rate,0.25 Hz,0.25,Hz beat rate,"{""beat_rate_hz"": 0.25, ""frequencies_hz"": ""440,440.25""}",3,0.0358550574649085,0.30963686919409716,0.01396753462367155,0.5168344640299846,0.5028669294063131
critical_beating_rate_0_25hz,critical_beating_rate,0.25 Hz,0.25,Hz beat rate,"{""beat_rate_hz"": 0.25, ""frequencies_hz"": ""440,440.25""}",7,0.051186275936647936,0.2988393795153241,0.06696743784809348,0.5694859746510316,0.5025185368029381
critical_beating_rate_0_25hz,critical_beating_rate,0.25 Hz,0.25,Hz beat rate,"{""beat_rate_hz"": 0.25, ""frequencies_hz"": ""440,440.25""}",12,0.030229631673714234,0.2937547436988786,0.0994430921635709,0.4797541608155627,0.3803110686519918
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",-12,0.07811422535839496,0.37109918541114306,0.06637472994020475,0.7228622607959371,0.6564875308557323
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",3,0.03639622504920301,0.31424615837184605,0.019144746333493615,0.5289619134210524,0.5098171670875588
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",7,0.05516644192764066,0.31629689777658,0.07216040659127033,0.6021200242343078,0.5299596176430375
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",12,0.03763641848504336,0.309488439720337,0.08694946381464169,0.5228451967863927,0.43589573297175105
critical_beating_rate_1_0hz,critical_beating_rate,1 Hz,1.0,Hz beat rate,"{""beat_rate_hz"": 1.0, ""frequencies_hz"": ""440,441""}",-12,0.07702218236657847,0.3710146319635222,0.0658968555661319,0.7188783804157762,0.6529815248496443
critical_beating_rate_1_0hz,critical_beating_rate,1 Hz,1.0,Hz beat rate,"{""beat_rate_hz"": 1.0, ""frequencies_hz"": ""440,441""}",3,0.03405470207671986,0.30688005476800906,0.018745411191588204,0.5121403760699131,0.49339496487832496
critical_beating_rate_1_0hz,critical_beating_rate,1 Hz,1.0,Hz beat rate,"{""beat_rate_hz"": 1.0, ""frequencies_hz"": ""440,441""}",7,0.04952247471177311,0.3048190321216499,0.07274759015337745,0.5728121356960392,0.5000645455426618
critical_beating_rate_1_0hz,critical_beating_rate,1 Hz,1.0,Hz beat rate,"{""beat_rate_hz"": 1.0, ""frequencies_hz"": ""440,441""}",12,0.03957371948898745,0.31473653005621627,0.08664650051337904,0.5297394005700673,0.4430929000566883
critical_beating_rate_2_0hz,critical_beating_rate,2 Hz,2.0,Hz beat rate,"{""beat_rate_hz"": 2.0, ""frequencies_hz"": ""440,442""}",-12,0.07229806409520378,0.3624928738677963,0.06688883307829789,0.7032545447836007,0.6363657117053029
critical_beating_rate_2_0hz,critical_beating_rate,2 Hz,2.0,Hz beat rate,"{""beat_rate_hz"": 2.0, ""frequencies_hz"": ""440,442""}",3,0.04525968650411685,0.34876568478311704,0.018865501689703485,0.5916940441721631,0.5728285424824596
critical_beating_rate_2_0hz,critical_beating_rate,2 Hz,2.0,Hz beat rate,"{""beat_rate_hz"": 2.0, ""frequencies_hz"": ""440,442""}",7,0.03976966365218258,0.2831541035488804,0.07296021652547813,0.5067997231839606,0.4338395066584825
critical_beating_rate_2_0hz,critical_beating_rate,2 Hz,2.0,Hz beat rate,"{""beat_rate_hz"": 2.0, ""frequencies_hz"": ""440,442""}",12,0.03897649745375713,0.30404950085006316,0.07314100632380974,0.5427949564841916,0.4696539501603819
critical_beating_rate_3_0hz,critical_beating_rate,3 Hz,3.0,Hz beat rate,"{""beat_rate_hz"": 3.0, ""frequencies_hz"": ""440,443""}",-12,0.053653687722749366,0.3287095653531388,0.06650922109920522,0.604568656617104,0.5380594355178988
critical_beating_rate_3_0hz,critical_beating_rate,3 Hz,3.0,Hz beat rate,"{""beat_rate_hz"": 3.0, ""frequencies_hz"": ""440,443""}",3,0.05335407725305756,0.35687707341672115,0.020133300193339792,0.6338005982865603,0.6136672980932205
critical_beating_rate_3_0hz,critical_beating_rate,3 Hz,3.0,Hz beat rate,"{""beat_rate_hz"": 3.0, ""frequencies_hz"": ""440,443""}",7,0.04826569280691241,0.30251887522287546,0.07395467149542488,0.5642447559906624,0.4902900844952375
critical_beating_rate_3_0hz,critical_beating_rate,3 Hz,3.0,Hz beat rate,"{""beat_rate_hz"": 3.0, ""frequencies_hz"": ""440,443""}",12,0.041462448602363616,0.320031040227394,0.08650450374620071,0.5494269447005151,0.4629224409543144
critical_beating_rate_4_0hz,critical_beating_rate,4 Hz,4.0,Hz beat rate,"{""beat_rate_hz"": 4.0, ""frequencies_hz"": ""440,444""}",-12,0.03989896597591308,0.2973238462090969,0.0671848467369449,0.5389031324893889,0.471718285752444
critical_beating_rate_4_0hz,critical_beating_rate,4 Hz,4.0,Hz beat rate,"{""beat_rate_hz"": 4.0, ""frequencies_hz"": ""440,444""}",3,0.05250124477547076,0.3582715462504659,0.02212524778856183,0.630533174800816,0.6084079270122542
critical_beating_rate_4_0hz,critical_beating_rate,4 Hz,4.0,Hz beat rate,"{""beat_rate_hz"": 4.0, ""frequencies_hz"": ""440,444""}",7,0.04851097792133322,0.3038833350762844,0.076423779938864,0.5687592241909193,0.4923354442520553
critical_beating_rate_4_0hz,critical_beating_rate,4 Hz,4.0,Hz beat rate,"{""beat_rate_hz"": 4.0, ""frequencies_hz"": ""440,444""}",12,0.037659208867375005,0.3112173922052993,0.08931800579050281,0.5455735553327171,0.4562555495422143
critical_beating_rate_5_0hz,critical_beating_rate,5 Hz,5.0,Hz beat rate,"{""beat_rate_hz"": 5.0, ""frequencies_hz"": ""440,445""}",-12,0.0768363125092348,0.3755729625079024,0.06986831653949702,0.7157310110655968,0.6458626945260998
critical_beating_rate_5_0hz,critical_beating_rate,5 Hz,5.0,Hz beat rate,"{""beat_rate_hz"": 5.0, ""frequencies_hz"": ""440,445""}",3,0.05189063147446514,0.36050436623733767,0.022853933289341263,0.6313247508980078,0.6084708176086665
critical_beating_rate_5_0hz,critical_beating_rate,5 Hz,5.0,Hz beat rate,"{""beat_rate_hz"": 5.0, ""frequencies_hz"": ""440,445""}",7,0.03630727928682252,0.27570711654430385,0.07843119352636539,0.5009080271408632,0.42247683361449784
critical_beating_rate_5_0hz,critical_beating_rate,5 Hz,5.0,Hz beat rate,"{""beat_rate_hz"": 5.0, ""frequencies_hz"": ""440,445""}",12,0.03338272389023185,0.30555229353746516,0.09463830937414221,0.5065801971154089,0.4119418877412667
critical_two_oscillators_0_0hz,critical_two_oscillators,440 + 440,0.0,Hz separation,"{""frequencies_hz"": ""440,440"", ""separation_hz"": 0.0}",-12,0.05730849356155272,0.3440232498278962,0.07950286150131407,0.6460345320522476,0.5665316705509336
critical_two_oscillators_0_0hz,critical_two_oscillators,440 + 440,0.0,Hz separation,"{""frequencies_hz"": ""440,440"", ""separation_hz"": 0.0}",3,0.030671350093022458,0.3061768534765799,0.026718656132548996,0.4950024291676369,0.46828377303508795
