dry_mix,catastrophic_count,mean_stress,max_stress,mean_shift_retention,mean_dry_similarity,mean_peak_preservation,catastrophe_rate,guard_audit_score
0.1,0,0.22214568020982475,0.34401123553540436,0.9566441147301612,0.0,0.64735033190528,0.0,0.7344984345203365
0.2,0,0.1822691238257612,0.2676809570086653,0.8898865531351592,0.06677086381434466,0.5949273045468673,0.0,0.707617429309398
0.3,0,0.1424995748902616,0.19649441028526857,0.8064314487839415,0.1834245058375516,0.5542225619099537,0.0,0.6639318738936799
0.4,0,0.10628658324246643,0.13688457248268646,0.7070196741532696,0.30007814786075854,0.5421253360121421,0.0,0.6007330909108032
0.5,0,0.0744291705672932,0.08965259764605325,0.5952807432712405,0.4167317898839654,0.5858595506004249,0.0,0.5208515727039473
0.6,0,0.04673592352374496,0.0529744975306646,0.47553437273969973,0.5333854319071722,0.6506366007745409,0.0,0.4287984492159548
0.7,0,0.022501726228947794,0.024091219265930188,0.35214717157479514,0.6500390739303792,0.7154136509486568,0.0,0.32964544534584733
0.85,0,0.0011136430585267846,0.0013326565162016808,0.17051552846661217,0.8250195369651896,0.8510676138440496,0.0,0.16940188540808537
1.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,1,0.25133612614565953,0.40415159476783247,1.0,0.0,0.7134057663203301,0.5,0.5736638738543405
