dry_mix,catastrophic_count,mean_stress,max_stress
0.4,0,0.10925424245847362,0.19457681593465223
0.3,0,0.2202795381569518,0.36331603224930326
0.2,1,0.3238172702098453,0.5489195695808473
0.15,2,0.37129685559421666,0.6461650591356775
0.1,2,0.415171121399317,0.7439818645958595
0.05,3,0.45457542199479456,0.8386526902695649
0.0,5,0.4868094944165223,0.9149206313238912
