signal_family,signal_name,signal_label,shift_semitones,algorithm_disagreement,mean_composite_stress,min_composite_stress,max_composite_stress,algorithm_spread
harmonic,saw,harmonic / saw,-12,0.020366884299935953,0.29142057574157476,0.13720889637512101,0.49732481335145134,0.36011591697633033
harmonic,saw,harmonic / saw,3,0.02062891137701588,0.28110280877502947,0.14053951067323292,0.4831062071942273,0.34256669652099436
harmonic,saw,harmonic / saw,7,0.020432212988311778,0.29756059131109525,0.14152856721322074,0.4715108182189553,0.32998225100573453
harmonic,saw,harmonic / saw,12,0.01132677774733128,0.3010907141458835,0.18213539244685387,0.4104360237806716,0.22830063133381776
harmonic,sine,harmonic / sine,-12,0.03398703182274326,0.23520297182737418,0.05070365255439907,0.4406957111207353,0.38999205856633623
harmonic,sine,harmonic / sine,3,0.019444579120979515,0.20830043242418766,0.023684050365776185,0.35002288239080454,0.32633883202502834
harmonic,sine,harmonic / sine,7,0.0278002276839385,0.24914863969159393,0.043711745566179516,0.4353459025195033,0.39163415695332376
harmonic,sine,harmonic / sine,12,0.014510707748546663,0.16862574225186638,0.04122587513721382,0.3006683904327337,0.25944251529551987
harmonic,square,harmonic / square,-12,0.06991611981158316,0.4610161237619296,0.13121587300071166,0.8400323325640137,0.708816459563302
harmonic,square,harmonic / square,3,0.0422374730162186,0.35404850790038717,0.13824384559596112,0.6562755342610411,0.51803168866508
harmonic,square,harmonic / square,7,0.025365453461228968,0.344641114901184,0.15062701077010798,0.5713224086648908,0.42069539789478283
harmonic,square,harmonic / square,12,0.00980993857014899,0.3376787426801999,0.1765442638771563,0.4204736615958547,0.2439293977186984
inharmonic,bell_resonator,inharmonic / bell_resonator,-12,0.01953536290324652,0.3175174662520204,0.1255770042557011,0.47177928152624,0.34620227727053887
inharmonic,bell_resonator,inharmonic / bell_resonator,3,0.009787000110148965,0.1811159426909424,0.027929712724348337,0.28530387230036774,0.2573741595760194
inharmonic,bell_resonator,inharmonic / bell_resonator,7,0.009876990968846021,0.18862617953012728,0.01866550951944547,0.259873705991061,0.24120819647161557
inharmonic,bell_resonator,inharmonic / bell_resonator,12,0.01165773554034621,0.19604373122702198,0.03113021665778987,0.333352157635833,0.3022219409780431
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,-12,0.004017029245409333,0.19576639913220856,0.09996784706247515,0.2562404103448636,0.15627256328238848
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,3,0.007500217494745057,0.14587781407017247,0.03423685231484647,0.23968028372646785,0.20544343141162139
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,7,0.005529240230076053,0.18790711756424341,0.10022828606575092,0.2712321007120538,0.17100381464630288
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,12,0.012031140465529883,0.2722425665381549,0.13294166885448114,0.39117449998027337,0.2582328311257922
modulated,fm_tone,modulated / fm_tone,-12,0.034317058834723455,0.23337659191874663,0.04792693453968969,0.4859571832854761,0.4380302487457864
modulated,fm_tone,modulated / fm_tone,3,0.018323973118881967,0.20425373300557625,0.02014621778626958,0.3575749939477906,0.337428776161521
modulated,fm_tone,modulated / fm_tone,7,0.027304307056027113,0.20829303567730012,0.04961596734992047,0.4327182079918739,0.3831022406419534
modulated,fm_tone,modulated / fm_tone,12,0.013190012020373693,0.1915638360341821,0.06919274913848433,0.3316346013207702,0.2624418521822859
modulated,vibrato_tone,modulated / vibrato_tone,-12,0.03870040784098228,0.24847473215211896,0.05207895210281425,0.4880249845668152,0.43594603246400093
modulated,vibrato_tone,modulated / vibrato_tone,3,0.030595869868644657,0.24580034359485692,0.025089542788999736,0.4446869112311358,0.4195973684421361
modulated,vibrato_tone,modulated / vibrato_tone,7,0.025225121918013717,0.2467893915017336,0.048775991262346115,0.42713564264563697,0.37835965138329086
modulated,vibrato_tone,modulated / vibrato_tone,12,0.01982572152095092,0.20484462415423754,0.06250686205858418,0.36699017164248177,0.3044833095838976
noise,pink_noise,noise / pink_noise,-12,0.020730662956252283,0.3106708097646873,0.10444585277851486,0.4939572714786484,0.3895114187001335
noise,pink_noise,noise / pink_noise,3,0.010345633985062695,0.2220149929630772,0.09008968965460391,0.3624297563761058,0.2723400667215019
noise,pink_noise,noise / pink_noise,7,0.007355883587259644,0.22087125198414398,0.07595892303108216,0.29917326663218313,0.22321434360110098
noise,pink_noise,noise / pink_noise,12,0.007342233080537908,0.22909951751197852,0.09248004832579644,0.32773491738203137,0.23525486905623494
noise,white_noise,noise / white_noise,-12,0.03914714885933227,0.43121473163956686,0.11987974217386697,0.6293106842606139,0.5094309420867469
noise,white_noise,noise / white_noise,3,0.006603151360844195,0.24506750415599043,0.12202652360065928,0.32198228253125033,0.19995575893059103
noise,white_noise,noise / white_noise,7,0.00840378287940558,0.2533619695754099,0.10323846452469136,0.3508323475049135,0.2475938829802221
noise,white_noise,noise / white_noise,12,0.017714769913300746,0.25920040448758214,0.0985206575234866,0.46810770067268015,0.36958704314919355
transient,click_sequence,transient / click_sequence,-12,0.006493539868639366,0.10004018368941173,0.027493861349817777,0.23480091473913203,0.20730705338931427
transient,click_sequence,transient / click_sequence,3,0.0065375521828988275,0.11824686979065221,0.01006459554795632,0.2306210889536983,0.22055649340574196
transient,click_sequence,transient / click_sequence,7,0.005532434619291737,0.11872753562009411,0.01835133967155687,0.22250369046845886,0.204152350796902
transient,click_sequence,transient / click_sequence,12,0.0037746064861242526,0.1119236347258458,0.03176970824335006,0.2044640908756222,0.17269438263227213
transient,impulse_train,transient / impulse_train,-12,0.0018752420915187553,0.29542508636805,0.237806500530211,0.3586834836362806,0.12087698310606962
transient,impulse_train,transient / impulse_train,3,0.0018263827366064565,0.08620219261073925,0.027150653785205894,0.12892865550744012,0.10177800172223422
transient,impulse_train,transient / impulse_train,7,0.005572969095225092,0.09351955245657319,0.024845039284892508,0.20718865243920928,0.18234361315431677
transient,impulse_train,transient / impulse_train,12,0.015400534596563044,0.10369667612836367,0.009419400317906473,0.31231245764224647,0.30289305732434
