case_id,case_family,case_label,parameter_summary,algorithm,algorithm_label,implementation,shift_semitones,frame_index,time_seconds,observed_output_f0_hz,inferred_input_f0_hz,pitch_confidence
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,37,0.8591383219954648,,,0.960499825587488
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,38,0.8823582766439909,,,0.9604730678470654
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,39,0.905578231292517,,,0.9604988932683284
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,40,0.9287981859410431,,,0.960476426205338
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,41,0.9520181405895691,,,0.9604931466429516
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,42,0.9752380952380952,,,0.9604835372119128
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,43,0.9984580498866213,,,0.9604848791516248
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,44,1.0216780045351475,,,0.960491692937357
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,45,1.0448979591836736,,,0.9604772756209669
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,46,1.0681179138321995,,,0.9604977375678679
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,47,1.0913378684807256,,,0.960473234639723
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,48,1.1145578231292517,,,0.9604992967937044
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,49,1.1377777777777778,,,0.9604742674349454
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,50,1.1609977324263039,,,0.9604957541242423
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,51,1.18421768707483,,,0.960479995364109
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,52,1.207437641723356,,,0.9604885338295066
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,53,1.230657596371882,,,0.9604882787215677
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,54,1.253877551020408,,,0.9604804702887455
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,55,1.2770975056689342,,,0.9604958965459824
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,56,1.3003174603174603,,,0.9604746077585271
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,57,1.3235374149659864,,,0.9604998633120284
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,58,1.3467573696145125,,,0.9604731426867843
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,59,1.3699773242630386,,,0.9604986539475164
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,60,1.3931972789115645,,,0.9604766678679074
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,61,1.4164172335600906,,,0.9604927945321999
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,62,1.4396371882086167,,,0.9604838760330013
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,63,1.4628571428571429,,,0.9604845582090775
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,64,1.486077097505669,,,0.9604919841864276
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,65,1.509297052154195,,,0.9604770763835001
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,66,1.5325170068027212,,,0.9604978635117911
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,67,1.555736961451247,,,0.9604732087438942
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,68,1.5789569160997732,,,0.960499181562866
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,69,1.6021768707482993,,,0.9604744187342343
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,70,1.6253968253968254,,,0.9604954413208252
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,71,1.6486167800453515,,,0.9604803241172771
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,72,1.6718367346938776,,,0.9604882262768545
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,73,1.6950566893424037,,,0.9604886631174482
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,74,1.7182766439909296,,,0.9604802607835727
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,75,1.7414965986394557,,,0.9604961264623149
octave_pure_110,pure_tones,110,"{""frequencies_hz"": ""110""}",phase_vocoder,Phase Vocoder,local phase vocoder,-12,76,1.7647165532879818,,,0.9604745072163103
