signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.656937951760593,0.3355213268479526,48.50482749480613,0.000763667343908933,0.06317113129273084,0.014548476673737928,0.026161091770125905
harmonic,sine,harmonic / sine,wsola,WSOLA,local waveform-similarity overlap-add,3,130.2874929495521,1.9140025931271665,259.83027237487755,0.1564469242672183,0.814795297761075,0.08059430172730621,0.35061217458519983
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,88.70385473112793,1.92092023872056,276.89056180843744,0.10650594983665157,0.8180892675497148,0.08592617689232279,0.33684046475956303
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,3,0.6958645879355826,0.490083143547397,766.396639419815,0.0008104173211877801,0.13676870836020769,0.23891216863092693,0.12549709810410747
harmonic,sine,harmonic / sine,adaptive_selector_v0,Adaptive Selector v0,observer-state adaptive selector prototype,3,0.6958645879355826,0.490083143547397,766.396639419815,0.0008104173211877801,0.13676870836020769,0.23891216863092693,0.12549709810410747
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.6558912929173847,0.4135466005078451,120.95591754866206,0.0007624103311807145,0.10032436366293208,0.03719171313469917,0.04609282904293732
harmonic,sine,harmonic / sine,wsola,WSOLA,local waveform-similarity overlap-add,7,291.0404444375513,2.001706240408678,326.4624740260572,0.34950744960488134,0.856557073584735,0.10141895318224749,0.435827825457288
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,177.54711869567237,1.987056993752296,344.26854006006243,0.213204626625725,0.8495815534802446,0.10698390690962088,0.3899233623385301
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,7,0.6497438047447877,0.45226250319643185,871.4056829568286,0.0007550273420341839,0.11875968418844737,0.2717307860123976,0.13041516584762639
harmonic,sine,harmonic / sine,adaptive_selector_v0,Adaptive Selector v0,observer-state adaptive selector prototype,7,0.6497438047447877,0.45226250319643185,871.4056829568286,0.0007550273420341839,0.11875968418844737,0.2717307860123976,0.13041516584762639
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.6462370717358121,0.41977981369512296,228.6409506290908,0.0007508158379176807,0.1032924278182646,0.07084666112145911,0.05829663492588046
harmonic,sine,harmonic / sine,wsola,WSOLA,local waveform-similarity overlap-add,12,36.42308869454871,1.7282054397073543,431.9022991400889,0.043717975727007016,0.7263244153029393,0.13437220330843183,0.30147153144612604
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,16.45785260538132,1.6109065765517965,458.41343105790884,0.019740195336748496,0.6704703091247889,0.14265776296552887,0.2776227558090221
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,12,0.6363001150822565,0.37061838822861176,163.04731757910548,0.0007388817859824896,0.07988327103697282,0.05034659490602619,0.04365624924299383
harmonic,sine,harmonic / sine,adaptive_selector_v0,Adaptive Selector v0,observer-state adaptive selector prototype,12,16.45785260538132,1.6109065765517965,458.41343105790884,0.019740195336748496,0.6704703091247889,0.14265776296552887,0.2776227558090221
harmonic,sine,harmonic / sine,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.8871163912181584,0.4734428227057045,110.39297935538906,0.0010401062523814693,0.12884510004784233,0.033890463877372504,0.05459189005919877
harmonic,sine,harmonic / sine,wsola,WSOLA,local waveform-similarity overlap-add,-12,376.19361996387727,1.9000349220750958,206.70920795704848,0.45177441670632223,0.8081443229688536,0.0639923041344923,0.4413036812698894
harmonic,sine,harmonic / sine,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,251.8599506125386,1.9310220934202988,218.74112933960322,0.3024525952409121,0.8228994596506153,0.0677526566804977,0.3977015705240084
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.7479910040017748,0.3957540560819043,214.99076767852594,0.0008730199246022495,0.0918521019648112,0.06658055111462186,0.0531018910013451
harmonic,sine,harmonic / sine,adaptive_selector_v0,Adaptive Selector v0,observer-state adaptive selector prototype,-12,0.8161470799207058,0.3731916862592635,101.89702536820099,0.0009548737736299907,0.08110859630923432,0.031235211969494445,0.037766227350786254
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,3,0.4824536802198902,0.8956925980537976,310.89751098580183,0.0005541158251654507,0.32990743902989816,0.09655441438283618,0.14233865641263327
harmonic,saw,harmonic / saw,wsola,WSOLA,local waveform-similarity overlap-add,3,320.4937882418623,2.246537646230137,295.9268410408002,0.3848802248800874,0.9731382489569336,0.09187561080249397,0.48329802821317164
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,3,100.30596638991814,1.9461645502571645,330.65162755121264,0.12043981388790964,0.8301098312536437,0.10272819495860798,0.3510926133667205
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,3,0.48682142824530994,0.8611344741266238,456.800194541705,0.0005593613881272793,0.3134519247033334,0.1421535759908856,0.15205495402744876
harmonic,saw,harmonic / saw,adaptive_selector_v0,Adaptive Selector v0,observer-state adaptive selector prototype,3,0.443857385802299,0.7112905958967608,249.928483605235,0.0005077625805912536,0.24210088463658186,0.07749968238713004,0.10670277653476772
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,7,0.4835360442843951,0.8637156866805997,666.5285608896255,0.0005554157190272162,0.314681018627858,0.20770026394626337,0.17431223276438287
harmonic,saw,harmonic / saw,wsola,WSOLA,local waveform-similarity overlap-add,7,230.46547457915284,2.197942280025056,605.0460367477204,0.27675833119103654,0.9499986321629912,0.1884850481182191,0.4717473371574156
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,7,113.68109620586945,2.0473559723181087,643.7577931563943,0.13650303117148016,0.8782940700438745,0.20058368533029072,0.40512692884854845
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,7,0.4607517884772314,0.788554224034966,484.8622713992127,0.0005280523620571446,0.27889144486577505,0.15092385455257298,0.14344778392680171
harmonic,saw,harmonic / saw,adaptive_selector_v0,Adaptive Selector v0,observer-state adaptive selector prototype,7,0.4448531607416435,0.6938342676423411,564.9460980886353,0.0005089584829440777,0.23378871872488005,0.17595256044339241,0.1367500792170722
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.4786545091954336,0.7209688146921078,1226.613388107646,0.0005495531098495583,0.24670935436653824,0.38274432707170564,0.21000107818269784
harmonic,saw,harmonic / saw,wsola,WSOLA,local waveform-similarity overlap-add,12,116.7365091347763,1.7597855338964985,1064.1066508465456,0.14017251045455434,0.7413618835827236,0.3319558782634525,0.4044967574335769
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,12,59.58080237058617,1.8705435581648449,1177.7797054620198,0.0715298468406067,0.7941014437211907,0.36748227066120165,0.4110378537409997
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,12,0.4572800584681837,0.7972197634154633,861.2058746307995,0.0005238828957227904,0.28301770784589764,0.26854302622008697,0.18402820565390246
harmonic,saw,harmonic / saw,adaptive_selector_v0,Adaptive Selector v0,observer-state adaptive selector prototype,12,0.4212159680919816,0.5261931166153984,973.7531603555036,0.00048057076882616965,0.1539631654552911,0.30371758055473513,0.15272043892628415
harmonic,saw,harmonic / saw,phase_vocoder,Phase Vocoder,local phase vocoder,-12,0.5795772719572991,0.7499225880332745,502.2338983159349,0.0006707589814493011,0.26049624954139566,0.1563530324392624,0.13917334698736913
harmonic,saw,harmonic / saw,wsola,WSOLA,local waveform-similarity overlap-add,-12,399.2090810006494,1.962911551021291,565.1879048736228,0.47941544573576095,0.8380842372596473,0.17602813264259973,0.49784260521266926
harmonic,saw,harmonic / saw,rubber_band,Rubber Band,local hybrid spectral/time-domain proxy,-12,168.5392213630737,1.6292168002383196,541.0312081264118,0.2023863531500491,0.6791890737438158,0.16847840777087958,0.35001794488824817
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.5140425601511004,0.6084239116294462,1149.8231001527831,0.0005920533292541585,0.1931189375767767,0.3587449552641213,0.18415198205671737
