policy_id,threshold,micro_bonus,micro_rms_threshold,micro_strength_threshold,case_count,fixed_danger_cases,adaptive_catastrophic_cases,avoided_fixed_danger_cases,missed_fixed_danger_cases,introduced_catastrophic_cases,phase_vocoder_count,psola_count,rubberband_count,wsola_count,mean_selected_stress,max_selected_stress,p90_selected_stress
thr0.55_bonus0.15_rms2_str0.30,0.55,0.15,2.0,0.3,144,81,0,81,0,0,64,62,18,0,0.21640954285222852,0.5120119242298234,0.3823508817496397
thr0.55_bonus0.15_rms2_str0.35,0.55,0.15,2.0,0.35,144,81,0,81,0,0,64,62,18,0,0.21640954285222852,0.5120119242298234,0.3823508817496397
thr0.55_bonus0.15_rms2_str0.40,0.55,0.15,2.0,0.4,144,81,0,81,0,0,64,62,18,0,0.21640954285222852,0.5120119242298234,0.3823508817496397
thr0.55_bonus0.20_rms2_str0.30,0.55,0.2,2.0,0.3,144,81,0,81,0,0,64,62,18,0,0.21640954285222852,0.5120119242298234,0.3823508817496397
thr0.55_bonus0.20_rms2_str0.35,0.55,0.2,2.0,0.35,144,81,0,81,0,0,64,62,18,0,0.21640954285222852,0.5120119242298234,0.3823508817496397
thr0.55_bonus0.20_rms2_str0.40,0.55,0.2,2.0,0.4,144,81,0,81,0,0,64,62,18,0,0.21640954285222852,0.5120119242298234,0.3823508817496397
thr0.50_bonus0.06_rms1_str0.30,0.5,0.06,1.0,0.3,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.50_bonus0.06_rms1_str0.35,0.5,0.06,1.0,0.35,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.50_bonus0.06_rms1_str0.40,0.5,0.06,1.0,0.4,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.50_bonus0.08_rms1_str0.30,0.5,0.08,1.0,0.3,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.50_bonus0.08_rms1_str0.35,0.5,0.08,1.0,0.35,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.50_bonus0.08_rms1_str0.40,0.5,0.08,1.0,0.4,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.55_bonus0.10_rms1_str0.30,0.55,0.1,1.0,0.3,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.55_bonus0.10_rms1_str0.35,0.55,0.1,1.0,0.35,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.55_bonus0.10_rms1_str0.40,0.55,0.1,1.0,0.4,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.55_bonus0.12_rms1_str0.30,0.55,0.12,1.0,0.3,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.55_bonus0.12_rms1_str0.35,0.55,0.12,1.0,0.35,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.55_bonus0.12_rms1_str0.40,0.55,0.12,1.0,0.4,144,81,0,81,0,0,67,67,10,0,0.20578838471024616,0.5021038879452818,0.3335430621766117
thr0.50_bonus0.06_rms0.5_str0.30,0.5,0.06,0.5,0.3,144,81,0,81,0,0,69,67,8,0,0.200499492211761,0.5021038879452818,0.32774074132021536
thr0.50_bonus0.06_rms0.5_str0.35,0.5,0.06,0.5,0.35,144,81,0,81,0,0,69,67,8,0,0.200499492211761,0.5021038879452818,0.32774074132021536
thr0.50_bonus0.06_rms0.5_str0.40,0.5,0.06,0.5,0.4,144,81,0,81,0,0,69,67,8,0,0.200499492211761,0.5021038879452818,0.32774074132021536
thr0.50_bonus0.06_rms0.7_str0.30,0.5,0.06,0.7,0.3,144,81,0,81,0,0,69,67,8,0,0.200499492211761,0.5021038879452818,0.32774074132021536
thr0.50_bonus0.06_rms0.7_str0.35,0.5,0.06,0.7,0.35,144,81,0,81,0,0,69,67,8,0,0.200499492211761,0.5021038879452818,0.32774074132021536
thr0.50_bonus0.06_rms0.7_str0.40,0.5,0.06,0.7,0.4,144,81,0,81,0,0,69,67,8,0,0.200499492211761,0.5021038879452818,0.32774074132021536
thr0.50_bonus0.08_rms0.5_str0.30,0.5,0.08,0.5,0.3,144,81,0,81,0,0,69,67,8,0,0.200499492211761,0.5021038879452818,0.32774074132021536
thr0.50_bonus0.08_rms0.5_str0.35,0.5,0.08,0.5,0.35,144,81,0,81,0,0,69,67,8,0,0.200499492211761,0.5021038879452818,0.32774074132021536
thr0.50_bonus0.08_rms0.5_str0.40,0.5,0.08,0.5,0.4,144,81,0,81,0,0,69,67,8,0,0.200499492211761,0.5021038879452818,0.32774074132021536
thr0.50_bonus0.08_rms0.7_str0.30,0.5,0.08,0.7,0.3,144,81,0,81,0,0,69,67,8,0,0.200499492211761,0.5021038879452818,0.32774074132021536
thr0.50_bonus0.08_rms0.7_str0.35,0.5,0.08,0.7,0.35,144,81,0,81,0,0,69,67,8,0,0.200499492211761,0.5021038879452818,0.32774074132021536
