algorithm_label,case_count,mean_composite_stress,median_composite_stress,p90_composite_stress,max_composite_stress,catastrophic_threshold,catastrophic_count
Preflight Adaptive v3,44,0.12099190436366115,0.10025420547499805,0.2588954616446258,0.39713088409372327,0.40405327137278774,0
Phase Vocoder,44,0.100793257511935,0.06827460244598361,0.22887449212165425,0.40415159476783247,0.40405327137278774,1
Preflight Adaptive v2,44,0.12231874281529001,0.10009806656411305,0.2588954616446258,0.40415159476783247,0.40405327137278774,1
PSOLA,44,0.17121745455508663,0.1383570541975767,0.323108179460096,0.46810770067268015,0.40405327137278774,2
Rubber Band,44,0.3132409560155114,0.3270798042415858,0.4089406398010718,0.5715169053559541,0.40405327137278774,7
WSOLA,44,0.3418040940927503,0.33600258246102743,0.49631455078961045,0.8400323325640137,0.40405327137278774,17
