candidate_id,candidate_family,candidate_name,candidate_label,parameter_summary,shift_semitones,algorithm_disagreement,mean_composite_stress,min_composite_stress,max_composite_stress,algorithm_spread
chaotic_oscillators_03,chaotic_oscillators,chaotic_oscillators_03,chaotic_oscillators / chaotic_oscillators_03,"{""base_hz"": 342.066, ""depth_hz"": 226.175, ""r"": 3.82304}",-12,0.019737001201577797,0.4255462334082363,0.227948915337587,0.5765915123473809,0.34864259700979394
chaotic_oscillators_03,chaotic_oscillators,chaotic_oscillators_03,chaotic_oscillators / chaotic_oscillators_03,"{""base_hz"": 342.066, ""depth_hz"": 226.175, ""r"": 3.82304}",3,0.022245115461663856,0.28926318890578734,0.09676512724628795,0.4385005652242742,0.3417354379779863
chaotic_oscillators_03,chaotic_oscillators,chaotic_oscillators_03,chaotic_oscillators / chaotic_oscillators_03,"{""base_hz"": 342.066, ""depth_hz"": 226.175, ""r"": 3.82304}",7,0.029593477155660575,0.33978349181092393,0.09768575268896092,0.5335202185006914,0.4358344658117305
chaotic_oscillators_03,chaotic_oscillators,chaotic_oscillators_03,chaotic_oscillators / chaotic_oscillators_03,"{""base_hz"": 342.066, ""depth_hz"": 226.175, ""r"": 3.82304}",12,0.01699802157208104,0.35057036509821093,0.13198171562145636,0.4664244226139453,0.3344427069924889
chirps_01,chirps,chirps_01,chirps / chirps_01,"{""curve"": 1.556, ""end_hz"": 641.412, ""start_hz"": 3699.443}",-12,0.009566212238215672,0.23167687953777005,0.12336992896426145,0.39021171349139677,0.2668417845271353
chirps_01,chirps,chirps_01,chirps / chirps_01,"{""curve"": 1.556, ""end_hz"": 641.412, ""start_hz"": 3699.443}",3,0.0015253618503171204,0.1495310880918838,0.10274724435472404,0.20407989157455284,0.10133264721982879
chirps_01,chirps,chirps_01,chirps / chirps_01,"{""curve"": 1.556, ""end_hz"": 641.412, ""start_hz"": 3699.443}",7,0.0006418002088602599,0.19392885652136937,0.161439947489376,0.2222170277268023,0.060777080237426284
chirps_01,chirps,chirps_01,chirps / chirps_01,"{""curve"": 1.556, ""end_hz"": 641.412, ""start_hz"": 3699.443}",12,0.0032809868898164628,0.25469276444906036,0.15732180003737004,0.29631270232724966,0.13899090228987962
chirps_02,chirps,chirps_02,chirps / chirps_02,"{""curve"": 0.811, ""end_hz"": 2009.964, ""start_hz"": 343.851}",-12,0.004060604449981128,0.16403879674543786,0.08492589578632852,0.24051275350710363,0.15558685772077513
chirps_02,chirps,chirps_02,chirps / chirps_02,"{""curve"": 0.811, ""end_hz"": 2009.964, ""start_hz"": 343.851}",3,0.004330818770765109,0.17349123470575453,0.0743427506284029,0.23671723726781654,0.16237448663941365
chirps_02,chirps,chirps_02,chirps / chirps_02,"{""curve"": 0.811, ""end_hz"": 2009.964, ""start_hz"": 343.851}",7,0.004390572750780161,0.18362438284819113,0.11306849690931732,0.2562799706482505,0.14321147373893317
chirps_02,chirps,chirps_02,chirps / chirps_02,"{""curve"": 0.811, ""end_hz"": 2009.964, ""start_hz"": 343.851}",12,0.0019811774158021004,0.2007896758707292,0.14985298526895613,0.24632621755554354,0.09647323228658741
