policy,policy_label,case_count,guarded_count,catastrophic_count,rescued_count,missed_guard_count,unnecessary_guard_count,mean_stress,max_stress,mean_shift_retention,catastrophe_rate,unnecessary_guard_rate,guard_specificity_score
current_v3,Current v3,44,2,0,1,0,1,0.12099190436366115,0.39713088409372327,0.99802927794228,0.0,0.022727272727272728,0.8759010099422553
noise_only,Noise Only,44,2,0,1,0,1,0.12099190436366115,0.39713088409372327,0.99802927794228,0.0,0.022727272727272728,0.8759010099422553
noise_plus_transient,Noise + Transient,44,6,0,1,0,5,0.11772388252915739,0.39713088409372327,0.9891040190911795,0.0,0.11363636363636363,0.865698318380204
forced_everywhere,Forced Everywhere,44,44,0,1,0,43,0.10105482405078571,0.37865324232962744,0.8801128131413722,0.0,0.9772727272727273,0.7301943527269502
no_guard,No Guard,44,0,1,0,1,0,0.12231874281529001,0.40415159476783247,1.0,0.022727272727272728,0.0,0.8697267117301646
