depth_semitones,rate_hz,shift_semitones,selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,catastrophic_threshold,fixed_catastrophic_count,fixed_catastrophic_any,adaptive_catastrophic,adaptive_composite_stress,worst_fixed_algorithm_label,worst_fixed_composite_stress,preflight_outcome
0.1,2.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.43000000000000005,high,periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,13.081780581699755,6.657248448120752,1.980064655172411,0.49070954645682535,1.0640400370627376e-06,0.5240090363523335,1,True,False,0.030431491619293146,WSOLA,0.593254946966835,caught
0.1,2.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,13.081780581699755,6.657248448120752,1.980064655172411,0.49070954645682535,1.0640400370627376e-06,0.5240090363523335,0,False,False,0.05369134510379081,WSOLA,0.4538763193158104,false_alarm
0.2,2.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,26.165306006193273,13.317775737751832,1.980064655172411,0.4906513262238614,1.0624417956089202e-06,0.5240090363523335,1,True,False,0.045776081496959366,WSOLA,0.5716625497289836,caught
0.2,2.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.35,high,periodic_representation_bias|micro_modulation_trap,1.0,26.165306006193273,13.317775737751832,1.980064655172411,0.4906513262238614,1.0624417956089202e-06,0.5240090363523335,0,False,False,0.0036569405081851775,WSOLA,0.5035298826366378,false_alarm
0.2,2.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.43000000000000005,high,periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,26.165306006193273,13.317775737751832,1.980064655172411,0.4906513262238614,1.0624417956089202e-06,0.5240090363523335,1,True,False,0.03366407241745817,WSOLA,0.5890161586605221,caught
0.2,2.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,26.165306006193273,13.317775737751832,1.980064655172411,0.4906513262238614,1.0624417956089202e-06,0.5240090363523335,0,False,False,0.06613712400898404,WSOLA,0.4747199942333939,false_alarm
0.35,2.0,-12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,45.78811859999934,23.300282952138375,1.980064655172411,0.4904895334409862,1.035064544283827e-06,0.5240090363523335,0,False,False,0.04524917425334176,WSOLA,0.5161412951610495,false_alarm
0.35,2.0,3,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.35,high,periodic_representation_bias|micro_modulation_trap,1.0,45.78811859999934,23.300282952138375,1.980064655172411,0.4904895334409862,1.035064544283827e-06,0.5240090363523335,1,True,False,0.005834788340614876,WSOLA,0.5445643733899809,caught
0.35,2.0,7,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.43000000000000005,high,periodic_representation_bias|moderate_shift|micro_modulation_trap,1.0,45.78811859999934,23.300282952138375,1.980064655172411,0.4904895334409862,1.035064544283827e-06,0.5240090363523335,1,True,False,0.037647569439173946,WSOLA,0.588851279421267,caught
0.35,2.0,12,phase_vocoder,Phase Vocoder,True,micro_modulation_phase_vocoder_guard,0.06,0.55,high,periodic_representation_bias|large_shift|micro_modulation_trap,1.0,45.78811859999934,23.300282952138375,1.980064655172411,0.4904895334409862,1.035064544283827e-06,0.5240090363523335,0,False,False,0.07339188682756682,WSOLA,0.48322324620941365,false_alarm
