signal_family,signal_name,signal_label,shift_semitones,dry_mix,algorithm,algorithm_label,rms_error,spectral_distance,spectral_centroid_difference,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress,catastrophic_threshold,catastrophic
noise,white_noise,noise / white_noise,3,0.0,phase_vocoder_guarded,Phase Vocoder Guarded,0.2389966156403345,0.8116528431572739,263.1478947289417,0.7496107478352817,0.48602558829329395,0.08396363771578924,0.43986665794812163,0.4040532713727877,True
noise,white_noise,noise / white_noise,3,0.05,phase_vocoder_guarded,Phase Vocoder Guarded,0.22704678485831775,0.824311836311506,260.7664743398501,0.6687900850542788,0.5060363231093193,0.08297570931693833,0.41926737249351215,0.4040532713727877,True
noise,white_noise,noise / white_noise,3,0.1,phase_vocoder_guarded,Phase Vocoder Guarded,0.21509695407630103,0.8276860380130844,253.18404157943186,0.5879694222732761,0.5113701008152892,0.07983014934327402,0.3930565574772798,0.4040532713727877,False
noise,white_noise,noise / white_noise,3,0.15,phase_vocoder_guarded,Phase Vocoder Guarded,0.2031471232942843,0.8212792380829964,239.28684352974207,0.5071487594922734,0.5012425359403955,0.07406491919716736,0.3608187382099455,0.4040532713727877,False
noise,white_noise,noise / white_noise,3,0.2,phase_vocoder_guarded,Phase Vocoder Guarded,0.1911972925122676,0.8051775739592562,219.41277710057906,0.4263280967112709,0.4757897904533533,0.06582019486543818,0.3226460273433542,0.4040532713727877,False
noise,white_noise,noise / white_noise,3,0.3,phase_vocoder_guarded,Phase Vocoder Guarded,0.16729763094823416,0.7463457213163568,167.1779455659546,0.2646867711492656,0.3827911935168369,0.04415065944085367,0.23054287470231868,0.4040532713727877,False
noise,white_noise,noise / white_noise,3,0.4,phase_vocoder_guarded,Phase Vocoder Guarded,0.1433979693842007,0.65795481369874,114.18623037345263,0.10304544558726021,0.2430670471385274,0.022167132054300397,0.12275987492669599,0.4040532713727877,False
noise,white_noise,noise / white_noise,7,0.0,phase_vocoder_guarded,Phase Vocoder Guarded,0.24095091691245993,0.8177423191058084,73.52350497450597,0.7628283345081096,0.4956515424975548,0.0052982661538035,0.42125938105315597,0.4040532713727877,True
noise,white_noise,noise / white_noise,7,0.05,phase_vocoder_guarded,Phase Vocoder Guarded,0.22890337106683692,0.8296412572650331,74.74457558127304,0.6813467923934654,0.514460818495696,0.005804825321161369,0.4005374787367742,0.4040532713727877,False
noise,white_noise,noise / white_noise,7,0.1,phase_vocoder_guarded,Phase Vocoder Guarded,0.21685582522121394,0.8329793770148549,76.46668522938675,0.5998652502788214,0.5197375595669629,0.0065192397248927695,0.375374016523559,0.4040532713727877,False
noise,white_noise,noise / white_noise,7,0.15,phase_vocoder_guarded,Phase Vocoder Guarded,0.20480827937559093,0.8259709881306009,76.8812492193156,0.5183837081641773,0.5086590314611551,0.0066912209259724666,0.3445779868504349,0.4040532713727877,False
noise,white_noise,noise / white_noise,7,0.2,phase_vocoder_guarded,Phase Vocoder Guarded,0.19276073352996795,0.8087933018619538,75.99154725142553,0.4369021660495333,0.48150536130059696,0.006322129502795635,0.3082432189509753,0.4040532713727877,False
noise,white_noise,noise / white_noise,7,0.3,phase_vocoder_guarded,Phase Vocoder Guarded,0.16866564183872196,0.748450795142518,70.6608178210359,0.2739390818202451,0.3861187941869886,0.004110685015717448,0.22138952034098372,0.4040532713727877,False
noise,white_noise,noise / white_noise,7,0.4,phase_vocoder_guarded,Phase Vocoder Guarded,0.14457055014747594,0.6595211010359382,61.37640787474909,0.1109759975909568,0.245542959730351,0.00025906255774002713,0.11892600662634928,0.4040532713727877,False
noise,white_noise,noise / white_noise,12,0.0,phase_vocoder_guarded,Phase Vocoder Guarded,0.250365419852364,0.7825103604947405,82.27883485513804,0.8265017355157458,0.4399585365668604,0.008930400601801464,0.42513022422813584,0.4040532713727877,True
noise,white_noise,noise / white_noise,12,0.05,phase_vocoder_guarded,Phase Vocoder Guarded,0.2378471488597458,0.7931457640992239,80.38557401151152,0.7418365233507199,0.4567704771847103,0.008144984401277318,0.4022506616455692,0.4040532713727877,False
noise,white_noise,noise / white_noise,12,0.1,phase_vocoder_guarded,Phase Vocoder Guarded,0.2253288778671276,0.7965318142116723,77.74298795911136,0.657171311185694,0.46212298429554055,0.007048711849176899,0.37544766911013716,0.4040532713727877,False
noise,white_noise,noise / white_noise,12,0.15,phase_vocoder_guarded,Phase Vocoder Guarded,0.2128106068745094,0.7921623693409772,74.5371855301819,0.5725060990206681,0.4552159734823234,0.005718789893712026,0.34448028746556786,0.4040532713727877,False
noise,white_noise,noise / white_noise,12,0.2,phase_vocoder_guarded,Phase Vocoder Guarded,0.2002923358818912,0.7797076266711935,70.81147084803119,0.48784088685564214,0.4355281081260207,0.004173183180435971,0.30918072605403296,0.4040532713727877,False
noise,white_noise,noise / white_noise,12,0.3,phase_vocoder_guarded,Phase Vocoder Guarded,0.17525579389665477,0.7309910772135951,65.51392921262082,0.31851046252559023,0.3585193017801632,0.0019755065964568897,0.22633509030073676,0.4040532713727877,False
noise,white_noise,noise / white_noise,12,0.4,phase_vocoder_guarded,Phase Vocoder Guarded,0.15021925191141838,0.6540128907707204,60.75193260126783,0.1491800381955385,0.2368358426962184,0.0,0.12867196029725228,0.4040532713727877,False
noise,white_noise,noise / white_noise,-12,0.0,phase_vocoder_guarded,Phase Vocoder Guarded,0.2382796828515766,1.1367982523121154,2471.2711482261243,0.7447618939716735,1.0,1.0,0.9149206313238912,0.4040532713727877,True
noise,white_noise,noise / white_noise,-12,0.05,phase_vocoder_guarded,Phase Vocoder Guarded,0.2263656987089978,1.0840436835628724,2314.9882981526084,0.6641836738838515,0.916608084646766,0.9351663122780773,0.8386526902695649,0.4040532713727877,True
noise,white_noise,noise / white_noise,-12,0.1,phase_vocoder_guarded,Phase Vocoder Guarded,0.21445171456641896,1.0178546828658268,2076.81494639795,0.583605453796029,0.8119796576819002,0.8363604823096492,0.7439818645958595,0.4040532713727877,True
noise,white_noise,noise / white_noise,-12,0.15,phase_vocoder_guarded,Phase Vocoder Guarded,0.20253773042384013,0.9530154600442243,1810.748020646202,0.5030272337082068,0.7094848954403619,0.7259830482584637,0.6461650591356775,0.4040532713727877,True
noise,white_noise,noise / white_noise,-12,0.2,phase_vocoder_guarded,Phase Vocoder Guarded,0.1906237462812613,0.8905163986285827,1539.895567680871,0.4224490136203845,0.6106893491436339,0.6136203459785234,0.5489195695808473,0.4040532713727877,True
noise,white_noise,noise / white_noise,-12,0.3,phase_vocoder_guarded,Phase Vocoder Guarded,0.16679577799610365,0.7715465261497468,1039.4904578306953,0.26129257344474,0.4226274282416177,0.4060280950615522,0.36331603224930326,0.4040532713727877,False
noise,white_noise,noise / white_noise,-12,0.4,phase_vocoder_guarded,Phase Vocoder Guarded,0.14296780971094597,0.6573549455059966,642.8332908351188,0.10013613326909528,0.24211880400549882,0.2414755105293626,0.19457681593465223,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,3,0.0,phase_vocoder_guarded,Phase Vocoder Guarded,0.21360344687931498,0.60705408507311,270.74120225322935,0.5778683385231815,0.162605594157218,0.08711370906766572,0.27586254724935505,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,3,0.05,phase_vocoder_guarded,Phase Vocoder Guarded,0.20292327453534922,0.6155542750049771,277.6028789256274,0.5056347962077837,0.17604229046790185,0.08996026454331638,0.257212450406334,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,3,0.1,phase_vocoder_guarded,Phase Vocoder Guarded,0.1922431021913835,0.61936022828019,279.0173106292112,0.43340125389238615,0.18205856054440542,0.09054703924912064,0.23533561789530408,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,3,0.15,phase_vocoder_guarded,Phase Vocoder Guarded,0.18156292984741773,0.6172704419480475,276.79929552999613,0.3611677115769884,0.17875512561832851,0.08962689927063053,0.2098499121553158,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,3,0.2,phase_vocoder_guarded,Phase Vocoder Guarded,0.17088275750345197,0.6088107271958177,268.61167974877816,0.28893416926159066,0.16538241054821304,0.0862302800990652,0.18018228663628963,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,3,0.3,phase_vocoder_guarded,Phase Vocoder Guarded,0.14952241281552048,0.5722720958757815,239.88475598970825,0.14446708463079533,0.10762387849297365,0.07431296221465943,0.10880130844614282,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,3,0.4,phase_vocoder_guarded,Phase Vocoder Guarded,0.12816206812758899,0.5134703126775414,198.317527937859,0.0,0.014672813905658283,0.05706886485073355,0.023913892918797277,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,7,0.0,phase_vocoder_guarded,Phase Vocoder Guarded,0.27601820257178206,0.6121499480039768,127.09634048969282,1.0,0.1706608921201765,0.027522870366842173,0.39939458749567286,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,7,0.05,phase_vocoder_guarded,Phase Vocoder Guarded,0.262217292443193,0.6193645954381148,122.30430512715562,0.9066598746107615,0.18206546394012332,0.02553490224301412,0.37142008026463297,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,7,0.1,phase_vocoder_guarded,Phase Vocoder Guarded,0.24841638231460386,0.6209996525610103,118.06945325141639,0.8133197492215228,0.18465008454119983,0.02377808078799765,0.3405826381835734,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,7,0.15,phase_vocoder_guarded,Phase Vocoder Guarded,0.23461547218601475,0.6167857731398121,118.56017700508332,0.7199796238322842,0.17798898419799328,0.023981656743951904,0.30731675492474314,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,7,0.2,phase_vocoder_guarded,Phase Vocoder Guarded,0.22081456205742564,0.6069646004879453,122.5485935599878,0.6266394984430456,0.16246414117734548,0.025636244904482536,0.27157996150829117,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,7,0.3,phase_vocoder_guarded,Phase Vocoder Guarded,0.19321274180024745,0.5697175842604882,136.2191715709139,0.4399592476645684,0.10358582792328819,0.03130746209383914,0.19161751256056525,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,7,0.4,phase_vocoder_guarded,Phase Vocoder Guarded,0.16561092154306922,0.5126218194229567,141.46256177145202,0.25327899688609107,0.013331556089668043,0.033482674042597214,0.10003107567278542,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,12,0.0,phase_vocoder_guarded,Phase Vocoder Guarded,0.2666556201857299,0.6074447549026454,292.8737116405034,0.9366777548916243,0.1632231464589065,0.09629534480979643,0.3987320820534424,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,12,0.05,phase_vocoder_guarded,Phase Vocoder Guarded,0.25332283917644344,0.6098447029389418,289.776141214896,0.8465037417578046,0.16701687026785833,0.09501032272595276,0.3695103115838719,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,12,0.1,phase_vocoder_guarded,Phase Vocoder Guarded,0.23999005816715693,0.6077941564438001,283.7680032624156,0.7563297286239847,0.1637754638114141,0.09251785640851547,0.3375410162813048,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,12,0.15,phase_vocoder_guarded,Phase Vocoder Guarded,0.22665727715787046,0.60134782734693,275.0472855608106,0.6661557154901651,0.1535854131081186,0.08890008076703633,0.30288040312177333,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,12,0.2,phase_vocoder_guarded,Phase Vocoder Guarded,0.21332449614858393,0.5909410476758616,263.78117860549673,0.5759817023563449,0.13713487033987837,0.08422635450827531,0.2657809757348329,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,12,0.3,phase_vocoder_guarded,Phase Vocoder Guarded,0.18665893413001095,0.5558672728869525,221.03775677823722,0.3956336760887054,0.08169191387827192,0.0664943150579366,0.18127330167497133,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,12,0.4,phase_vocoder_guarded,Phase Vocoder Guarded,0.15999337211143796,0.5041881422578776,161.0883532797247,0.21528564982106582,0.0,0.04162440192473123,0.08563668391526569,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,-12,0.0,phase_vocoder_guarded,Phase Vocoder Guarded,0.24050667345517507,0.7683704634676063,1701.1076163375415,0.7598237688946854,0.41760685928190217,0.6804989037646231,0.6193098439804036,0.4040532713727877,True
noise,pink_noise,noise / pink_noise,-12,0.05,phase_vocoder_guarded,Phase Vocoder Guarded,0.22848133978241628,0.761475084148287,1622.9071465578754,0.6784924550607122,0.40670697132606776,0.648057565287512,0.5777523305580973,0.4040532713727877,True
noise,pink_noise,noise / pink_noise,-12,0.1,phase_vocoder_guarded,Phase Vocoder Guarded,0.21645600610965757,0.7416745693646379,1477.1257140534472,0.5971611412267397,0.3754072584872207,0.5875803736685941,0.5200495911275181,0.4040532713727877,True
noise,pink_noise,noise / pink_noise,-12,0.15,phase_vocoder_guarded,Phase Vocoder Guarded,0.2044306724368988,0.715319658442078,1298.0247146378742,0.5158298273927667,0.3337466677004241,0.5132806135776353,0.45428570289027537,0.4040532713727877,True
noise,pink_noise,noise / pink_noise,-12,0.2,phase_vocoder_guarded,Phase Vocoder Guarded,0.19240533876414004,0.6841664596476973,1104.5465327736172,0.43449851355879376,0.28450117146308174,0.4330165025885414,0.384005395870139,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,-12,0.3,phase_vocoder_guarded,Phase Vocoder Guarded,0.16835467141862254,0.609004672835815,734.1476346499823,0.271835885890848,0.16568899059951933,0.2793571184514106,0.23896066498059265,0.4040532713727877,False
noise,pink_noise,noise / pink_noise,-12,0.4,phase_vocoder_guarded,Phase Vocoder Guarded,0.14430400407310504,0.5242542645860427,440.7945302152384,0.1091732582229023,0.031719572623404295,0.15766005728166566,0.09951762937599075,0.4040532713727877,False
