selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,signal_family,signal_name,signal_label,case_id,case_label,shift_semitones,policy,policy_label,guard_applied,rms_error,spectral_distance,spectral_centroid_difference,shift_retention,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress,catastrophic_threshold,catastrophic
rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:12,harmonic / sine +12,12,noise_plus_transient,Noise + Transient,False,16.45785260538132,1.6109065765517965,458.41343105790884,1.0,0.019738038783277158,0.6679994421059742,0.1423059080183473,0.2766811296358662,0.4040532713727877,False
rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.1,0.45,high,periodic_representation_bias|large_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:12,harmonic / sine +12,12,forced_everywhere,Forced Everywhere,True,14.812067344843186,1.5597903592330817,432.66269515661173,0.9682686643268098,0.017761484928028686,0.6434769686189135,0.1342546930703382,0.2651643822057601,0.4040532713727877,False
rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:-12,harmonic / sine -12,-12,no_guard,No Guard,False,251.8599506125386,1.9310220934202988,218.74112933960322,1.0,0.3024510606495008,0.8215715311018967,0.06737006052977214,0.39713088409372327,0.4040532713727877,False
rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:-12,harmonic / sine -12,-12,current_v3,Current v3,False,251.8599506125386,1.9310220934202988,218.74112933960322,1.0,0.3024510606495008,0.8215715311018967,0.06737006052977214,0.39713088409372327,0.4040532713727877,False
rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:-12,harmonic / sine -12,-12,noise_only,Noise Only,False,251.8599506125386,1.9310220934202988,218.74112933960322,1.0,0.3024510606495008,0.8215715311018967,0.06737006052977214,0.39713088409372327,0.4040532713727877,False
rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:-12,harmonic / sine -12,-12,noise_plus_transient,Noise + Transient,False,251.8599506125386,1.9310220934202988,218.74112933960322,1.0,0.3024510606495008,0.8215715311018967,0.06737006052977214,0.39713088409372327,0.4040532713727877,False
rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.1,0.45,high,periodic_representation_bias|large_shift,1.0,4.171432927302327e-06,0.3244227350625294,4.455145474137925,0.05345671926763492,1.0643086051986063e-06,harmonic,sine,harmonic / sine,sine:-12,harmonic / sine -12,-12,forced_everywhere,Forced Everywhere,True,226.6739555512848,1.8861068250999533,207.10727430119016,0.9767401582439743,0.27220320460763,0.8000238983871687,0.06373262399408368,0.37865324232962744,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.0,0.45,high,periodic_representation_bias|sharp_harmonic_structure,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:3,harmonic / saw +3,3,no_guard,No Guard,False,0.48682142824530994,0.8611344741266238,456.800194541705,1.0,0.0005571626371754006,0.30830407598725623,0.14180151412437397,0.1502209175829352,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.0,0.45,high,periodic_representation_bias|sharp_harmonic_structure,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:3,harmonic / saw +3,3,current_v3,Current v3,False,0.48682142824530994,0.8611344741266238,456.800194541705,1.0,0.0005571626371754006,0.30830407598725623,0.14180151412437397,0.1502209175829352,0.4040532713727877,False
psola,PSOLA,False,selective_low_risk_psola,0.0,0.45,high,periodic_representation_bias|sharp_harmonic_structure,1.0,2.9109227182160315e-06,0.24749250961407682,4.455145474137925,0.05778472656360186,0.0001679080834157772,harmonic,saw,harmonic / saw,saw:3,harmonic / saw +3,3,noise_only,Noise Only,False,0.48682142824530994,0.8611344741266238,456.800194541705,1.0,0.0005571626371754006,0.30830407598725623,0.14180151412437397,0.1502209175829352,0.4040532713727877,False
