case_id,sweep_family,case_label,ambiguity_amount,ambiguity_units,parameter_summary,mean_algorithm_disagreement,max_algorithm_disagreement,mean_algorithm_spread,mean_composite_stress,peak_shift_semitones
critical_beating_rate_0_1hz,critical_beating_rate,0.1 Hz,0.1,Hz beat rate,"{""beat_rate_hz"": 0.1, ""frequencies_hz"": ""440,440.1""}",0.0431430360425463,0.058403728476679545,0.48839454375701563,0.314742385573044,-12
critical_beating_rate_0_25hz,critical_beating_rate,0.25 Hz,0.25,Hz beat rate,"{""beat_rate_hz"": 0.25, ""frequencies_hz"": ""440,440.25""}",0.04567689402608405,0.06543661102906552,0.4970978924862646,0.3125341877940182,-12
critical_beating_rate_0_5hz,critical_beating_rate,0.5 Hz,0.5,Hz beat rate,"{""beat_rate_hz"": 0.5, ""frequencies_hz"": ""440,440.5""}",0.051828327705070495,0.07811422535839496,0.5330400121395199,0.32778267031997654,-12
critical_beating_rate_1_0hz,critical_beating_rate,1 Hz,1.0,Hz beat rate,"{""beat_rate_hz"": 1.0, ""frequencies_hz"": ""440,441""}",0.05004326966101472,0.07702218236657847,0.5223834838318299,0.3243625622273494,-12
critical_beating_rate_2_0hz,critical_beating_rate,2 Hz,2.0,Hz beat rate,"{""beat_rate_hz"": 2.0, ""frequencies_hz"": ""440,442""}",0.04907597792631509,0.07229806409520378,0.5281719277516568,0.32461554076246424,-12
critical_beating_rate_3_0hz,critical_beating_rate,3 Hz,3.0,Hz beat rate,"{""beat_rate_hz"": 3.0, ""frequencies_hz"": ""440,443""}",0.04918397659627074,0.053653687722749366,0.5262348147651678,0.3270341385550323,-12
critical_beating_rate_4_0hz,critical_beating_rate,4 Hz,4.0,Hz beat rate,"{""beat_rate_hz"": 4.0, ""frequencies_hz"": ""440,444""}",0.04464259938502302,0.05250124477547076,0.5071793016397419,0.31767402993528665,3
critical_beating_rate_5_0hz,critical_beating_rate,5 Hz,5.0,Hz beat rate,"{""beat_rate_hz"": 5.0, ""frequencies_hz"": ""440,445""}",0.04960423679018858,0.0768363125092348,0.5221880583726327,0.32933418470675224,-12
critical_two_oscillators_0_0hz,critical_two_oscillators,440 + 440,0.0,Hz separation,"{""frequencies_hz"": ""440,440"", ""separation_hz"": 0.0}",0.04130186234124649,0.05730849356155272,0.4822815876748482,0.3118511907793429,-12
critical_two_oscillators_0_2hz,critical_two_oscillators,440 + 440.2,0.2,Hz separation,"{""frequencies_hz"": ""440,440.2"", ""separation_hz"": 0.2}",0.025406127193549767,0.02768846150416867,0.3734405876491517,0.26554169879052475,7
critical_two_oscillators_0_5hz,critical_two_oscillators,440 + 440.5,0.5,Hz separation,"{""frequencies_hz"": ""440,440.5"", ""separation_hz"": 0.5}",0.038471502527274874,0.058983939179977435,0.450932425196635,0.2933459510356795,-12
critical_two_oscillators_1_0hz,critical_two_oscillators,440 + 441,1.0,Hz separation,"{""frequencies_hz"": ""440,441"", ""separation_hz"": 1.0}",0.04063364243456325,0.06380044836177545,0.46660571948693796,0.2970838710270045,-12
critical_two_oscillators_1_5hz,critical_two_oscillators,440 + 441.5,1.5,Hz separation,"{""frequencies_hz"": ""440,441.5"", ""separation_hz"": 1.5}",0.0404430047773178,0.06698352295573298,0.4701695646496001,0.3004456277838462,-12
critical_two_oscillators_2_0hz,critical_two_oscillators,440 + 442,2.0,Hz separation,"{""frequencies_hz"": ""440,442"", ""separation_hz"": 2.0}",0.043858092972114446,0.0698350657817573,0.4920696498883816,0.31558292538880783,-12
critical_two_oscillators_2_5hz,critical_two_oscillators,440 + 442.5,2.5,Hz separation,"{""frequencies_hz"": ""440,442.5"", ""separation_hz"": 2.5}",0.04275582914676267,0.06763583807455942,0.48019684348525776,0.30727119625459975,-12
critical_two_oscillators_3_0hz,critical_two_oscillators,440 + 443,3.0,Hz separation,"{""frequencies_hz"": ""440,443"", ""separation_hz"": 3.0}",0.044388698436761735,0.05456626253899641,0.5026039696369796,0.31498859471049623,-12
critical_vibrato_depth_0_0st,critical_vibrato_depth,0 semitones,0.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 0.0, ""rate_hz"": 5.5}",0.04430630230528374,0.0662607942337173,0.49481697238803213,0.3191507675135819,-12
critical_vibrato_depth_0_25st,critical_vibrato_depth,0.25 semitones,0.25,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 0.25, ""rate_hz"": 5.5}",0.03292133634624886,0.046428419490379326,0.42974039362094024,0.30703061982806984,3
critical_vibrato_depth_0_5st,critical_vibrato_depth,0.5 semitones,0.5,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 0.5, ""rate_hz"": 5.5}",0.033223372607721076,0.04505396607923297,0.42718045816565664,0.3141099523531517,3
critical_vibrato_depth_0_75st,critical_vibrato_depth,0.75 semitones,0.75,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 0.75, ""rate_hz"": 5.5}",0.03248706632151928,0.03621184741684206,0.41737205731620464,0.31827077139412696,7
critical_vibrato_depth_1_0st,critical_vibrato_depth,1 semitones,1.0,semitones,"{""base_hz"": 440.0, ""depth_semitones"": 1.0, ""rate_hz"": 5.5}",0.0386292671909544,0.0694224331722557,0.44922214481604417,0.33633972177088306,-12
