case_id,case_family,case_label,physical_frequencies_hz,algorithm,algorithm_label,dominant_inferred_pitch_hz,iqr_inferred_f0_hz,mean_confidence,valid_frame_fraction,observer_belief
octave_pure_110,pure_tones,110,110,phase_vocoder,Phase Vocoder,,,0.9604033631797619,0.0,untracked
octave_pure_110,pure_tones,110,110,wsola,WSOLA,1434.7166770006743,0.12304714731362765,0.8886859281266826,0.04597701149425287,mixed
octave_pure_110,pure_tones,110,110,rubber_band,Rubber Band,,,0.8715798911167507,0.0,untracked
octave_pure_110,pure_tones,110,110,psola,PSOLA,220.92961693029275,4.3090215513075236e-05,0.9778137425662715,1.0,subharmonic_seeking
octave_pure_220,pure_tones,220,220,phase_vocoder,Phase Vocoder,219.83203222082523,7.289283297495786e-05,0.9799558211201249,0.9885057471264368,subharmonic_seeking
octave_pure_220,pure_tones,220,220,wsola,WSOLA,236.07711198103374,0.037432032538987414,0.9136934378907784,0.9425287356321839,mixed
octave_pure_220,pure_tones,220,220,rubber_band,Rubber Band,236.03328287970822,0.34156557081610117,0.8961829753825028,0.896551724137931,mixed
octave_pure_220,pure_tones,220,220,psola,PSOLA,440.79936324890525,7.253469220813713e-06,0.992992941369686,1.0,fundamental_seeking
octave_pure_440,pure_tones,440,440,phase_vocoder,Phase Vocoder,439.40026355973674,5.348644265268376e-06,0.9945884637302482,1.0,fundamental_seeking
octave_pure_440,pure_tones,440,440,wsola,WSOLA,446.46602892387506,0.07875724611642454,0.9196463473310367,0.9425287356321839,fundamental_seeking
octave_pure_440,pure_tones,440,440,rubber_band,Rubber Band,446.48810025585794,0.35123729097745127,0.920547413046743,0.9425287356321839,fundamental_seeking
octave_pure_440,pure_tones,440,440,psola,PSOLA,881.5699963628247,6.854467710581957e-05,0.9974842616715823,1.0,octave_seeking
octave_pure_880,pure_tones,880,880,phase_vocoder,Phase Vocoder,878.6749745148229,8.04048431746196e-06,0.9971108841856108,1.0,octave_seeking
octave_pure_880,pure_tones,880,880,wsola,WSOLA,916.430376144618,20.26284738128561,0.9134947734360258,0.9540229885057471,octave_seeking
