guard_type,guard_label,case_count,catastrophic_count,mean_stress,max_stress,mean_shift_retention,mean_dry_similarity,mean_peak_preservation,catastrophe_rate,retention_quality,retention_overshoot,guard_type_score
reduced_shift_080,Reduced Shift 80%,2,0,0.2260329146963099,0.3490688369004846,0.9799639301557557,0.0,0.6303174553771848,0.0,0.9799639301557557,0.0,0.7539310154594457
dry_wet_010,Dry/Wet 0.10,2,0,0.22214568020982475,0.34401123553540436,0.9566441147301612,0.0,0.64735033190528,0.0,0.9566441147301612,0.0,0.7344984345203365
dry_wet_040,Dry/Wet 0.40,2,0,0.10628658324246643,0.13688457248268646,0.7070196741532696,0.30007814786075854,0.5421253360121421,0.0,0.7070196741532696,0.0,0.6007330909108032
no_guard,No Guard,2,1,0.25133612614565953,0.40415159476783247,1.0,0.0,0.7134057663203301,0.5,1.0,0.0,0.2986638738543405
spectral_smooth,Spectral Smoothing,2,1,0.26724480687766966,0.4189498781580736,1.0964635285271556,0.0,0.5213619695281282,0.5,1.0,0.09646352852715556,0.2586393109905415
rubberband_crossfade,Rubber Band Crossfade,2,1,0.3817936405956505,0.5399699471329723,1.5,0.0,2.0,0.5,1.0,0.5,0.043206359404349415
rubberband_fallback,Rubber Band Fallback,2,1,0.40873191399411224,0.5715169053559541,1.5,0.0,2.0,0.5,1.0,0.5,0.01626808600588775
