scorer,cases,true_positive,false_positive,true_negative,false_negative,precision,recall,f1
baseline_preflight,144,64,49,14,17,0.5663716814159292,0.7901234567901234,0.6597938144329897
modulation_aware_preflight,144,81,59,4,0,0.5785714285714286,1.0,0.7330316742081447
