signal_family,signal_name,signal_label,algorithm,algorithm_label,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference
transient,impulse_train,transient / impulse_train,phase_vocoder,Phase Vocoder,local phase vocoder,12,0.023637316192103405,0.2773870306177653,3.2669869201981365
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.5140425601511004,0.6084239116294462,1149.8231001527831
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,3,0.48682142824530994,0.8611344741266238,456.800194541705
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,7,0.4607517884772314,0.788554224034966,484.8622713992127
harmonic,saw,harmonic / saw,psola,PSOLA,local pitch-synchronous overlap-add,12,0.4572800584681837,0.7972197634154633,861.2058746307995
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.7479910040017748,0.3957540560819043,214.99076767852594
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,3,0.6958645879355826,0.490083143547397,766.396639419815
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,7,0.6497438047447877,0.45226250319643185,871.4056829568286
harmonic,sine,harmonic / sine,psola,PSOLA,local pitch-synchronous overlap-add,12,0.6363001150822565,0.37061838822861176,163.04731757910548
harmonic,square,harmonic / square,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.781990532855476,0.7430726135006336,454.4632240164327
harmonic,square,harmonic / square,psola,PSOLA,local pitch-synchronous overlap-add,3,0.9775270034945174,1.0407158996445354,599.4182686887501
harmonic,square,harmonic / square,psola,PSOLA,local pitch-synchronous overlap-add,7,0.8901516677882833,1.0713811937991875,1101.207289102461
harmonic,square,harmonic / square,psola,PSOLA,local pitch-synchronous overlap-add,12,0.9001169008745827,1.1728083601557915,2570.087472810794
inharmonic,bell_resonator,inharmonic / bell_resonator,psola,PSOLA,local pitch-synchronous overlap-add,-12,0.09609260845930814,0.3425646501384232,1017.5249954622449
inharmonic,bell_resonator,inharmonic / bell_resonator,psola,PSOLA,local pitch-synchronous overlap-add,3,0.07692061176709684,0.24193155696198204,1531.4041136129156
inharmonic,bell_resonator,inharmonic / bell_resonator,psola,PSOLA,local pitch-synchronous overlap-add,7,0.07425836453645358,0.2275195519683004,2482.7223139081534
