signal_family,signal_name,signal_label,shift_semitones,adaptive_state,selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,composite_stress
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,unstable_pitch|periodic_representation_bias|sparse_transients|high_crest_factor|large_shift,1.0,1504.7755203992683,1021.5055242605358,1.4850484913793083,0.17197410749828593,6.100535816828778e-05,0.19766983769070623
inharmonic,random_modal_resonator,inharmonic / random_modal_resonator,-12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,unstable_pitch|periodic_representation_bias|sparse_transients|high_crest_factor|large_shift,1.0,1504.7755203992683,1021.5055242605358,1.4850484913793083,0.17197410749828593,6.100535816828778e-05,0.09996784706247515
noise,white_noise,noise / white_noise,3,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.96,high,untracked_pitch|noise_like_spectrum|broadband_structure|high_centroid|dense_zero_crossings,0.0,,,,0.0,0.5587981201387135,0.12202652360065931
noise,white_noise,noise / white_noise,7,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,1.0,high,untracked_pitch|noise_like_spectrum|broadband_structure|high_centroid|dense_zero_crossings|moderate_shift,0.0,,,,0.0,0.5587981201387135,0.10323846452469138
noise,white_noise,noise / white_noise,12,high,phase_vocoder,Phase Vocoder,True,noise_fallback_dry_guard,0.1,1.0,high,untracked_pitch|noise_like_spectrum|broadband_structure|high_centroid|dense_zero_crossings|large_shift,0.0,,,,0.0,0.5587981201387135,0.10028012488424516
noise,white_noise,noise / white_noise,-12,high,phase_vocoder,Phase Vocoder,True,noise_fallback_dry_guard,0.1,1.0,high,untracked_pitch|noise_like_spectrum|broadband_structure|high_centroid|dense_zero_crossings|large_shift,0.0,,,,0.0,0.5587981201387135,0.34401123553540436
noise,pink_noise,noise / pink_noise,3,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.68,high,strong_pitch_motion|diffuse_spectrum|broadband_structure|high_centroid,0.9425287356321839,202.21654117774648,405.85331360955416,4.950161637931028,0.07810520365168723,0.1254257493730261,0.09008968965460395
noise,pink_noise,noise / pink_noise,7,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.76,high,strong_pitch_motion|diffuse_spectrum|broadband_structure|high_centroid|moderate_shift,0.9425287356321839,202.21654117774648,405.85331360955416,4.950161637931028,0.07810520365168723,0.1254257493730261,0.07595892303108219
noise,pink_noise,noise / pink_noise,12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.8800000000000001,high,strong_pitch_motion|diffuse_spectrum|broadband_structure|high_centroid|large_shift,0.9425287356321839,202.21654117774648,405.85331360955416,4.950161637931028,0.07810520365168723,0.1254257493730261,0.09248004832579647
noise,pink_noise,noise / pink_noise,-12,high,phase_vocoder,Phase Vocoder,True,selective_high_risk_phase_vocoder,0.0,0.8800000000000001,high,strong_pitch_motion|diffuse_spectrum|broadband_structure|high_centroid|large_shift,0.9425287356321839,202.21654117774648,405.85331360955416,4.950161637931028,0.07810520365168723,0.1254257493730261,0.26496967778529407
