case_id,case_label,algorithm_label,median_inferred_f0_hz,iqr_inferred_f0_hz,min_inferred_f0_hz,max_inferred_f0_hz,mean_confidence,valid_frame_fraction,jump_count,oscillation_index,state_behavior
critical_beating_rate_0_5hz,0.5 Hz,Input,440.27293745677923,0.0007902888996795809,438.10788087060865,441.9282583258934,0.9965392937756148,1.0,0,0.025974025974025976,stable_lock
critical_beating_rate_0_5hz,0.5 Hz,PSOLA,881.6853151827851,0.0008024124369967467,881.68502005603,881.7610295021283,0.9971841624543927,1.0,0,0.06172839506172839,octave_attractor
critical_beating_rate_0_5hz,0.5 Hz,Phase Vocoder,439.65814065202585,0.06825907497432127,436.84762537049505,442.92434073615226,0.9947231612229748,1.0,0,0.23529411764705882,stable_lock
critical_beating_rate_0_5hz,0.5 Hz,Rubber Band,446.47160774466465,0.3898820895183803,445.06356708401853,449.4811731983649,0.9068597790272417,0.896551724137931,0,0.3684210526315789,oscillating
critical_beating_rate_0_5hz,0.5 Hz,WSOLA,446.4926254733071,0.29639455102079637,445.10002670160276,449.60310385097597,0.9071220439839334,0.896551724137931,0,0.39473684210526316,oscillating
critical_two_oscillators_2_0hz,440 + 442,Input,441.024037657149,0.00710937544187118,440.40204524768984,441.07643236158196,0.9956224451488227,1.0,0,0.09411764705882353,stable_lock
critical_two_oscillators_2_0hz,440 + 442,PSOLA,882.0307603377066,0.002867458556465863,882.0300390322776,882.1002388160601,0.9970399016081715,1.0,0,0.058823529411764705,octave_attractor
critical_two_oscillators_2_0hz,440 + 442,Phase Vocoder,440.4813402869706,0.1647448637739899,429.8635146790192,443.6319611246443,0.9938273749476919,1.0,0,0.17647058823529413,stable_lock
critical_two_oscillators_2_0hz,440 + 442,Rubber Band,446.862975009059,1.4912769463363702,445.1959154711632,1031.9582499221158,0.9142213641619751,0.9425287356321839,1,0.3375,jumping
critical_two_oscillators_2_0hz,440 + 442,WSOLA,446.8232751460224,1.3435587015106307,445.26623281921565,1042.8613757241733,0.9136683263924424,0.9425287356321839,1,0.3125,jumping
critical_vibrato_depth_1_0st,1 semitones,Input,441.2024864560959,24.77288965878597,423.84189013353836,457.93925674184544,0.9789383500463985,1.0,15,0.25882352941176473,jumping
critical_vibrato_depth_1_0st,1 semitones,PSOLA,883.5729799202354,14.234017870003527,870.8995742903904,892.122692504479,0.9830171183121936,1.0,0,0.12941176470588237,octave_attractor
critical_vibrato_depth_1_0st,1 semitones,Phase Vocoder,443.3398219540003,15.846660276872626,422.8457312651093,466.86080741491554,0.9666731342035846,1.0,2,0.21176470588235294,jumping
critical_vibrato_depth_1_0st,1 semitones,Rubber Band,456.0994348767936,17.474336317755387,443.9504892587673,1153.0221934503652,0.8958919385167247,0.9080459770114943,1,0.2597402597402597,jumping
critical_vibrato_depth_1_0st,1 semitones,WSOLA,456.86514471184324,17.788738941480574,444.0454421960285,1153.0348124146556,0.8958710323883857,0.9080459770114943,1,0.2597402597402597,jumping
