depth_semitones,rate_hz,shift_semitones,selected_algorithm,selected_algorithm_label,safe_mode,guard,dry_mix,preflight_risk_score,preflight_risk_level,preflight_reasons,pitch_valid_fraction,pitch_iqr_cents,pitch_modulation_rms_cents,pitch_modulation_peak_rate_hz,pitch_modulation_peak_strength,spectral_flatness,catastrophic_threshold,fixed_danger_count,fixed_danger_any,worst_fixed_algorithm_label,worst_fixed_composite_stress,v1_composite_stress,v2_composite_stress,v2_catastrophic,fixed_danger_avoided
0.0,2.0,-12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,1,True,WSOLA,0.5973914677579687,0.04605102536125225,0.5052313702515782,False,True
0.0,2.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.25,medium,periodic_representation_bias,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,0,False,WSOLA,0.4962888040293905,0.29516438617601753,0.29516438617601753,False,False
0.0,2.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.33,high,periodic_representation_bias|moderate_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,1,True,WSOLA,0.5877129015552617,0.029004698121759237,0.32407246927462235,False,True
0.0,2.0,12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,4.2039015447302205e-06,0.33777005225322676,3.960129310344822,0.05425089090858194,1.063558721599303e-06,0.5240090363523335,0,False,WSOLA,0.4392719651419859,0.05093908685122051,0.38738333163480215,False,False
0.025,2.0,-12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,3.2947923706656352,1.6747194020253495,1.980064655172411,0.4907788497397725,1.0636054272600088e-06,0.5240090363523335,1,True,WSOLA,0.5637270587935,0.046061324524035795,0.48386297222064095,False,True
0.025,2.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.25,medium,periodic_representation_bias,1.0,3.2947923706656352,1.6747194020253495,1.980064655172411,0.4907788497397725,1.0636054272600088e-06,0.5240090363523335,0,False,WSOLA,0.49666250886205193,0.0008533214367660316,0.2942493138008744,False,False
0.025,2.0,7,psola,PSOLA,False,selective_low_risk_psola,0.0,0.33,high,periodic_representation_bias|moderate_shift,1.0,3.2947923706656352,1.6747194020253495,1.980064655172411,0.4907788497397725,1.0636054272600088e-06,0.5240090363523335,1,True,WSOLA,0.5929688291527725,0.029053074546816545,0.31634484930380347,False,True
0.025,2.0,12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,3.2947923706656352,1.6747194020253495,1.980064655172411,0.4907788497397725,1.0636054272600088e-06,0.5240090363523335,0,False,WSOLA,0.445869397936627,0.05026323305538207,0.4025307674215592,False,False
0.05,2.0,-12,rubber_band,Rubber Band,False,selective_low_risk_rubberband,0.0,0.45,high,periodic_representation_bias|large_shift,1.0,6.540102501470324,3.3279631877404214,1.980064655172411,0.4907558123008493,1.0637286693565244e-06,0.5240090363523335,1,True,WSOLA,0.5823890684580724,0.046059596576928034,0.4957971733203914,False,True
0.05,2.0,3,psola,PSOLA,False,selective_low_risk_psola,0.0,0.25,medium,periodic_representation_bias,1.0,6.540102501470324,3.3279631877404214,1.980064655172411,0.4907558123008493,1.0637286693565244e-06,0.5240090363523335,0,False,WSOLA,0.5119600776889911,0.0010692041617771043,0.29284013985525587,False,False
