signal_family,signal_name,signal_label,algorithm,implementation,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference
harmonic,saw,harmonic / saw,phase_vocoder,librosa_or_local_fallback,-12,0.5795772719572991,0.7499225880332745,502.2338983159349
harmonic,saw,harmonic / saw,phase_vocoder,librosa_or_local_fallback,3,0.4824536802198902,0.8956925980537976,310.89751098580183
harmonic,saw,harmonic / saw,phase_vocoder,librosa_or_local_fallback,7,0.4835360442843951,0.8637156866805997,666.5285608896255
harmonic,saw,harmonic / saw,phase_vocoder,librosa_or_local_fallback,12,0.4786545091954336,0.7209688146921078,1226.613388107646
harmonic,sine,harmonic / sine,phase_vocoder,librosa_or_local_fallback,-12,0.8871163912181584,0.4734428227057045,110.39297935538906
harmonic,sine,harmonic / sine,phase_vocoder,librosa_or_local_fallback,3,0.656937951760593,0.3355213268479526,48.50482749480613
harmonic,sine,harmonic / sine,phase_vocoder,librosa_or_local_fallback,7,0.6558912929173847,0.4135466005078451,120.95591754866206
harmonic,sine,harmonic / sine,phase_vocoder,librosa_or_local_fallback,12,0.6462370717358121,0.41977981369512296,228.6409506290908
harmonic,square,harmonic / square,phase_vocoder,librosa_or_local_fallback,-12,1.253861479939483,1.1203287089033085,1707.4653124308663
harmonic,square,harmonic / square,phase_vocoder,librosa_or_local_fallback,3,1.037411313657616,0.9725105060616916,168.87059376193994
harmonic,square,harmonic / square,phase_vocoder,librosa_or_local_fallback,7,1.0360443343529675,1.0028411654225309,241.1546959940324
harmonic,square,harmonic / square,phase_vocoder,librosa_or_local_fallback,12,1.0353915279528232,0.9917365664719014,506.87453151443196
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,librosa_or_local_fallback,-12,0.10193964014468132,0.2753245090912441,2263.885533767095
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,librosa_or_local_fallback,3,0.09311557228130384,0.2609770172660812,205.78764260767593
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,librosa_or_local_fallback,7,0.09280600315707227,0.2665856980156342,108.29201650511658
inharmonic,bell_resonator,inharmonic / bell_resonator,phase_vocoder,librosa_or_local_fallback,12,0.0931700838681044,0.2615753872501699,235.5784578310202
