algorithm_label,case_count,mean_composite_stress,median_composite_stress,p90_composite_stress,max_composite_stress,catastrophic_threshold,catastrophic_count
Adaptive Selector v0,44,0.137882665867898,0.1217440246053889,0.3177448756551129,0.3803216123052699,0.4049693859948056,0
Phase Vocoder,44,0.10302310491979592,0.07053533455885251,0.23107806825478597,0.4055714276607463,0.4049693859948056,1
PSOLA,44,0.17336145921062468,0.1404561112409836,0.32488635985058223,0.46917423724032875,0.4049693859948056,2
Rubber Band,44,0.31420505020061706,0.3277923699468158,0.40946999112068977,0.5720202777068001,0.4049693859948056,7
WSOLA,44,0.34280831838289383,0.3366755459943863,0.4968703958732525,0.8401547290064237,0.4049693859948056,17
