render_policy,render_label,shift_semitones,rms_error,spectral_distance,spectral_centroid_difference,reference_rms,render_rms,relative_rms_db,peak_ratio,active_fraction,median_frame_rms_db,crest_factor,silence_like_health_flag,initial_algorithm,initial_algorithm_label,final_algorithm,final_algorithm_label,fallback_used,attempted_algorithms,rejected_algorithms,final_guard,preflight_reasons,preflight_risk_score,preflight_risk_level,rms_error_normalized,spectral_distance_normalized,spectral_centroid_difference_normalized,composite_stress
adaptive_v4,Adaptive v4,7,0.09315661843577368,0.27378703809168714,1879.5643447933626,0.07175767729320622,0.058118074688585875,-1.8311430790777838,1.0995511344956717,1.0,-9.044871947475691,16.86222410585923,False,phase_vocoder,Phase Vocoder,phase_vocoder,Phase Vocoder,False,phase_vocoder,none,post_render_health_pass,unstable_pitch|periodic_representation_bias|transient_energy|broadband_structure|high_centroid|peaky_waveform|moderate_shift,1.0,high,0.6665128569234056,0.20094901530037168,0.6318264280961614,0.4997627667733129
adaptive_v4_wsola_probe,Adaptive v4 from WSOLA,7,0.09315661843577368,0.27378703809168714,1879.5643447933626,0.07175767729320622,0.058118074688585875,-1.8311430790777838,1.0995511344956717,1.0,-9.044871947475691,16.86222410585923,False,wsola,WSOLA,phase_vocoder,Phase Vocoder,True,wsola|phase_vocoder,wsola,post_render_health_fallback,unstable_pitch|periodic_representation_bias|transient_energy|broadband_structure|high_centroid|peaky_waveform|moderate_shift,1.0,high,0.6665128569234056,0.20094901530037168,0.6318264280961614,0.4997627667733129
adaptive_v4_rubber_probe,Adaptive v4 from Rubber Band,7,0.09315661843577368,0.27378703809168714,1879.5643447933626,0.07175767729320622,0.058118074688585875,-1.8311430790777838,1.0995511344956717,1.0,-9.044871947475691,16.86222410585923,False,rubber_band,Rubber Band,phase_vocoder,Phase Vocoder,True,rubber_band|phase_vocoder,rubber_band,post_render_health_fallback,unstable_pitch|periodic_representation_bias|transient_energy|broadband_structure|high_centroid|peaky_waveform|moderate_shift,1.0,high,0.6665128569234056,0.20094901530037168,0.6318264280961614,0.4997627667733129
fixed_phase_vocoder,Fixed Phase Vocoder,-12,0.09597931548537827,0.2873249668849792,2258.093655738695,0.07175767729320622,0.06350482373382624,-1.0612331554110312,1.0995511344956717,1.0,-8.235627916297405,15.431898592578833,False,phase_vocoder,Phase Vocoder,phase_vocoder,Phase Vocoder,False,phase_vocoder,none,none,,,,0.7544142144300621,0.2858603006509906,0.7985891753648982,0.6129545634819836
fixed_wsola,Fixed WSOLA,-12,0.07177541354351259,0.40075084755831386,2395.74385205664,0.07175767729320622,0.0016032039691750977,-33.017591865729734,1.0995511344956717,0.005319148936170213,-87.27215892828943,611.2759317232997,True,wsola,WSOLA,wsola,WSOLA,False,wsola,none,none,,,,0.0006826590206636225,0.9972791201066604,0.8592315727600544,0.6190644506291262
fixed_rubber_band,Fixed Rubber Band,-12,0.07178607352309205,0.3981499003246894,1977.3816083187303,0.07175767729320622,0.002184087728493912,-30.33196587906987,1.0995511344956717,0.010638297872340425,-64.21943955629078,448.69992501435905,True,rubber_band,Rubber Band,rubber_band,Rubber Band,False,rubber_band,none,none,,,,0.0010146204956503295,0.9809657108615462,0.6749202523367792,0.5523001945646585
fixed_psola,Fixed PSOLA,-12,0.09026986320245589,0.3571029368499294,2715.2695053497373,0.07175767729320622,0.054012520996726376,-2.467478490900051,1.0995511344956717,0.9840425531914894,-8.795276843862709,18.143941106903647,False,psola,PSOLA,psola,PSOLA,False,psola,none,none,,,,0.5766166692210718,0.7235149234036642,1.0,0.7667105308749119
adaptive_v3,Adaptive v3,-12,0.09597931548537827,0.2873249668849792,2258.093655738695,0.07175767729320622,0.06350482373382624,-1.0612331554110312,1.0995511344956717,1.0,-8.235627916297405,15.431898592578833,False,phase_vocoder,Phase Vocoder,phase_vocoder,Phase Vocoder,False,phase_vocoder,none,selective_high_risk_phase_vocoder,unstable_pitch|periodic_representation_bias|transient_energy|broadband_structure|high_centroid|peaky_waveform|large_shift,1.0,high,0.7544142144300621,0.2858603006509906,0.7985891753648982,0.6129545634819836
adaptive_v4,Adaptive v4,-12,0.09597931548537827,0.2873249668849792,2258.093655738695,0.07175767729320622,0.06350482373382624,-1.0612331554110312,1.0995511344956717,1.0,-8.235627916297405,15.431898592578833,False,phase_vocoder,Phase Vocoder,phase_vocoder,Phase Vocoder,False,phase_vocoder,none,post_render_health_pass,unstable_pitch|periodic_representation_bias|transient_energy|broadband_structure|high_centroid|peaky_waveform|large_shift,1.0,high,0.7544142144300621,0.2858603006509906,0.7985891753648982,0.6129545634819836
adaptive_v4_wsola_probe,Adaptive v4 from WSOLA,-12,0.09597931548537827,0.2873249668849792,2258.093655738695,0.07175767729320622,0.06350482373382624,-1.0612331554110312,1.0995511344956717,1.0,-8.235627916297405,15.431898592578833,False,wsola,WSOLA,phase_vocoder,Phase Vocoder,True,wsola|phase_vocoder,wsola,post_render_health_fallback,unstable_pitch|periodic_representation_bias|transient_energy|broadband_structure|high_centroid|peaky_waveform|large_shift,1.0,high,0.7544142144300621,0.2858603006509906,0.7985891753648982,0.6129545634819836
adaptive_v4_rubber_probe,Adaptive v4 from Rubber Band,-12,0.09597931548537827,0.2873249668849792,2258.093655738695,0.07175767729320622,0.06350482373382624,-1.0612331554110312,1.0995511344956717,1.0,-8.235627916297405,15.431898592578833,False,rubber_band,Rubber Band,phase_vocoder,Phase Vocoder,True,rubber_band|phase_vocoder,rubber_band,post_render_health_fallback,unstable_pitch|periodic_representation_bias|transient_energy|broadband_structure|high_centroid|peaky_waveform|large_shift,1.0,high,0.7544142144300621,0.2858603006509906,0.7985891753648982,0.6129545634819836
